"team","teamId","playedGames","goalDifference","points","rank"
"FC Bayern München",5,34,54,71,1
"Borussia Dortmund",4,34,39,71,2
"RB Leipzig",721,34,23,66,3
"1. FC Union Berlin",28,34,13,62,4
"SC Freiburg",17,34,7,59,5
"Bayer 04 Leverkusen",3,34,8,50,6
"Eintracht Frankfurt",19,34,6,50,7
"VfL Wolfsburg",11,34,9,49,8
"1. FSV Mainz 05",15,34,-1,46,9
"Borussia Mönchengladbach",18,34,-3,43,10
"1. FC Köln",1,34,-5,42,11
"TSG 1899 Hoffenheim",2,34,-9,36,12
"SV Werder Bremen",12,34,-13,36,13
"VfL Bochum 1848",36,34,-32,35,14
"FC Augsburg",16,34,-21,34,15
"VfB Stuttgart",10,34,-12,33,16
"FC Schalke 04",6,34,-36,31,17
"Hertha BSC",9,34,-27,29,18
