"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Mun","Bayern Munich",34,55,78,1,1,34,2.29
"Lei","RB Leipzig",34,28,65,2,2,34,1.91
"Dor","Borussia Dortmund",34,29,64,3,3,34,1.88
"Wol","Wolfsburg",34,24,61,4,4,34,1.79
"Fra","Eintracht Frankfurt",34,16,60,5,5,34,1.76
"Lev","Bayer Leverkusen",34,14,52,6,6,34,1.53
"UnB","Union Berlin",34,7,50,7,7,34,1.47
"BMg","Borussia M'gladbach",34,8,49,8,8,34,1.44
"Stu","Stuttgart",34,1,45,9,9,34,1.32
"Fbg","Freiburg",34,0,45,10,10,34,1.32
"Hof","Hoffenheim",34,-2,43,11,11,34,1.26
"Mai","Mainz",34,-17,39,12,12,34,1.15
"Aug","Augsburg",34,-18,36,13,13,34,1.06
"Her","Hertha Berlin",34,-11,35,14,14,34,1.03
"Bie","Bielefeld",34,-26,35,15,15,34,1.03
"Kln","Köln",34,-26,33,16,16,34,0.97
"Bre","Werder Bremen",34,-21,31,17,17,34,0.91
"Sch","Schalke",34,-61,16,18,18,34,0.47
