"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Spa","yes",3,4,"2.45","-0.58","-0.58"
"2","A","Gro","yes",1,0,"1.40","0.10","-0.48"
"3","H","Fey","yes",3,2,"1.54","0.01","-0.47"
"4","A","Twe","yes",0,-1,"0.58","0.63","0.16"
"5","H","RKC","yes",1,0,"2.39","-0.54","-0.38"
"6","A","NEC","yes",3,3,"1.61","-0.04","-0.42"
"7","H","Zwo","yes",3,4,"2.57","-0.65","-1.07"
"8","A","Ajx","yes",3,1,"0.54","0.65","-0.42"
"9","A","AZA","yes",0,-4,"0.60","0.61","0.19"
"10","H","Hee","yes",3,1,"1.98","-0.28","-0.08"
"11","H","WII","yes",3,4,"2.32","-0.49","-0.57"
"12","A","Vit","yes",0,-1,"1.32","0.15","-0.43"
"13","A","Cam","yes",0,-1,"1.26","0.19","-0.23"
"14","H","Her","yes",3,1,"2.69","-0.73","-0.97"
"15","A","PSV","yes",0,-3,"0.52","0.67","-0.30"
"16","H","GoA","yes",1,0,"2.18","-0.40","-0.70"
"17","A","Sit","yes",1,0,"1.23","0.21","-0.49"
"18","H","Twe","yes",1,0,"1.79","-0.15","-0.64"
"19","H","Ajx","yes",0,-3,"0.77","0.50","-0.14"
"20","A","Spa","yes",3,3,"1.72","-0.11","-0.24"
"21","H","Cam","yes",3,1,"1.82","-0.17","-0.42"
"22","A","Her","yes",0,-1,"0.84","0.46","0.05"
"23","H","Vit","no",NA,NA,"1.46","0.06","0.11"
"24","A","Hee","no",NA,NA,"1.46","0.06","0.16"
"25","A","GoA","no",NA,NA,"1.50","0.04","0.20"
"26","H","PSV","no",NA,NA,"1.35","0.13","0.33"
"27","H","Gro","no",NA,NA,"2.14","-0.38","-0.04"
"28","A","RKC","no",NA,NA,"1.12","0.28","0.24"
"29","H","Sit","no",NA,NA,"2.48","-0.59","-0.36"
"30","A","Fey","no",NA,NA,"0.56","0.64","0.28"
"31","H","NEC","no",NA,NA,"1.74","-0.12","0.16"
"32","A","Zwo","no",NA,NA,"1.71","-0.10","0.06"
"33","H","AZA","no",NA,NA,"1.83","-0.17","-0.11"
"34","A","WII","no",NA,NA,"1.38","0.11","-0.00"
