"team","teamId","playedGames","goalDifference","points","rank"
"AFC Ajax",678,34,79,83,1
"PSV",674,34,44,81,2
"Feyenoord Rotterdam",675,34,42,71,3
"FC Twente '65",666,34,18,68,4
"AZ",682,34,20,61,5
"SBV Vitesse",679,34,-9,51,6
"FC Utrecht",676,34,5,47,7
"SC Heerenveen",673,34,-13,41,8
"SC Cambuur-Leeuwarden",1909,34,-17,39,9
"RKC Waalwijk",683,34,-11,38,10
"NEC",1915,34,-14,38,11
"FC Groningen",677,34,-14,36,12
"Go Ahead Eagles",718,34,-14,36,13
"Sparta Rotterdam",6806,34,-18,35,14
"Fortuna Sittard",1920,34,-31,35,15
"Heracles Almelo",671,34,-16,34,16
"Willem II Tilburg",672,34,-25,33,17
"PEC Zwolle",684,34,-26,27,18
