"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Ajx","Ajax",34,79,83,1,1,34,2.44
"PSV","PSV Eindhoven",34,44,81,2,2,34,2.38
"Fey","Feyenoord",34,42,71,3,3,34,2.09
"Twe","Twente",34,18,68,4,4,34,2
"AZA","AZ Alkmaar",34,20,61,5,5,34,1.79
"Vit","Vitesse",34,-9,51,6,6,34,1.5
"Utr","Utrecht",34,5,47,7,7,34,1.38
"Hee","Heerenveen",34,-13,41,8,8,34,1.21
"Cam","Cambuur",34,-17,39,9,9,34,1.15
"RKC","RKC Waalwijk",34,-11,38,10,10,34,1.12
"NEC","NEC",34,-14,38,11,11,34,1.12
"Gro","Groningen",34,-14,36,12,12,34,1.06
"GoA","Go Ahead",34,-14,36,13,13,34,1.06
"Spa","Sparta Rotterdam",34,-18,35,14,14,34,1.03
"Sit","Fortuna Sittard",34,-31,35,15,15,34,1.03
"Her","Heracles Almelo",34,-16,34,16,16,34,1
"WII","Willem II",34,-25,33,17,17,34,0.97
"Zwo","PEC Zwolle",34,-26,27,18,18,34,0.79
