"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"PSV","PSV Eindhoven",34,64,79,1,1,34,2.32
"Ajx","Ajax",34,35,78,2,2,34,2.29
"Fey","Feyenoord",34,38,68,3,3,34,2
"Utr","Utrecht",34,17,64,4,4,34,1.88
"AZA","AZ Alkmaar",34,21,57,5,5,34,1.68
"Twe","Twente",34,13,54,6,6,34,1.59
"GoA","Go Ahead Eagles",34,2,51,7,7,34,1.5
"NEC","NEC",34,5,43,8,8,34,1.26
"Hee","Heerenveen",34,-15,43,9,9,34,1.26
"Zwo","PEC Zwolle",34,-8,41,10,10,34,1.21
"Sit","Fortuna Sittard",34,-17,41,11,11,34,1.21
"Spa","Sparta Rotterdam",34,-4,39,12,12,34,1.15
"Gro","Groningen",34,-13,39,13,13,34,1.15
"Her","Heracles",34,-21,38,14,14,34,1.12
"NAC","NAC Breda",34,-24,33,15,15,34,0.97
"Wil","Willem II",34,-22,26,16,16,34,0.76
"RKC","RKC Waalwijk",34,-30,25,17,17,34,0.74
"Alm","Almere City",34,-41,22,18,18,34,0.65
