"team","teamId","playedGames","goalDifference","points","rank"
"PSV",674,34,64,79,1
"AFC Ajax",678,34,35,78,2
"Feyenoord Rotterdam",675,34,38,68,3
"FC Utrecht",676,34,17,64,4
"AZ",682,34,21,57,5
"FC Twente '65",666,34,13,54,6
"Go Ahead Eagles",718,34,2,51,7
"NEC",1915,34,5,43,8
"SC Heerenveen",673,34,-15,43,9
"PEC Zwolle",684,34,-8,41,10
"Fortuna Sittard",1920,34,-17,41,11
"Sparta Rotterdam",6806,34,-4,39,12
"FC Groningen",677,34,-13,39,13
"Heracles Almelo",671,34,-21,38,14
"NAC Breda",681,34,-24,33,15
"Willem II Tilburg",672,34,-22,26,16
"RKC Waalwijk",683,34,-30,25,17
"Almere City FC",1911,34,-41,22,18
