fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
59,Blackburn Rovers FC,Blackburn,Bbn,NA,Blackburn Rovers,0
68,Norwich City FC,Norwich,Nor,NA,Norwich City,0
69,Queens Park Rangers FC,QPR,QPR,NA,Queens Park Rangers,0
70,Stoke City FC,Stoke,Sto,NA,Stoke City,0
72,Swansea City AFC,Swansea,Swa,NA,Swansea City,0
74,West Bromwich Albion FC,West Brom,WBA,NA,West Bromwich Albion,0
322,Hull City AFC,Hull,Hul,NA,Hull City,0
325,Portsmouth FC,Portsmouth,Por,NA,Portsmouth,0
332,Birmingham City FC,Birmingham,Bir,NA,Birmingham City,0
338,Leicester City FC,Leicester,Lei,NA,Leicester City,0
340,Southampton FC,Southampton,Sou,NA,Southampton,0
342,Derby County FC,Derby,Der,NA,Derby County,0
343,Middlesbrough FC,Middlesbrough,Mid,NA,Middlesbrough,0
345,Sheffield Wednesday FC,Sheffield Wed,ShW,NA,Sheffield Wednesday,12
346,Watford FC,Watford,Wat,NA,Watford,0
348,Charlton Athletic FC,Charlton,Cha,NA,Charlton Athletic,0
349,Ipswich Town FC,Ipswich,Ips,NA,Ipswich Town,0
356,Sheffield United FC,Sheffield Utd,ShU,NA,Sheffield United,0
384,Millwall FC,Millwall,Mil,NA,Millwall,0
387,Bristol City FC,Bristol City,Bri,NA,Bristol City,0
404,Wrexham AFC,Wrexham,Wre,NA,Wrexham,0
1076,Coventry City FC,Coventry,Cov,NA,Coventry City,0
1081,Preston North End FC,Preston,PNE,NA,Preston North End,0
1082,Oxford United FC,Oxford,Oxf,NA,Oxford United,0
