"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Cov","Coventry",35,34,71,1,1,34.8,2.04
"Mid","Middlesbrough",35,19,66,2,2,34.9,1.89
"Ips","Ipswich",34,26,63,3,3,33.6,1.87
"Mil","Millwall",35,7,62,4,4,35.6,1.74
"Hul","Hull",35,7,60,5,5,34.4,1.74
"Wre","Wrexham",35,9,57,6,6,36,1.58
"Sou","Southampton",35,11,53,7,7,35.9,1.48
"Der","Derby",35,6,51,8,8,34.5,1.48
"Wat","Watford",35,4,51,9,9,34.4,1.48
"PNE","Preston",35,1,49,11,10,34.6,1.42
"Bri","Bristol City",35,4,50,10,11,35.5,1.41
"Bir","Birmingham",35,0,49,12,12,35.4,1.39
"ShU","Sheffield Utd",35,2,48,13,13,34.9,1.38
"Sto","Stoke",35,5,47,14,14,34.7,1.35
"QPR","QPR",35,-8,47,15,15,35.9,1.31
"Swa","Swansea",35,-3,46,16,16,35.4,1.3
"Nor","Norwich",35,3,45,17,17,35.5,1.27
"Cha","Charlton",35,-11,41,18,18,34.9,1.17
"Por","Portsmouth",34,-10,39,19,19,33.7,1.16
"Bbn","Blackburn",35,-13,38,20,20,35.1,1.08
"Lei","Leicester",35,-9,34,22,21,34.5,1.03
"WBA","West Brom",35,-18,35,21,22,34.4,1.02
"Oxf","Oxford",35,-16,32,23,23,34.6,0.93
"ShW","Sheffield Wed",35,-50,-7,24,24,34.6,-0.07
