"","HA","vs","played","sched","cumulative"
"1","H","Bel","yes","-0.59","-0.59"
"2","A","Ton","yes","-0.15","-0.74"
"3","H","Spo","yes","0.20","-0.54"
"4","A","Mor","yes","0.24","-0.30"
"5","H","Pto","yes","0.67","0.38"
"6","A","Set","yes","-0.13","0.25"
"7","H","Bra","yes","0.14","0.39"
"8","A","Gil","yes","0.24","0.63"
"9","A","Ben","yes","0.76","1.39"
"10","H","SCl","yes","-0.32","1.07"
"11","A","Mar","yes","0.11","1.18"
"12","H","Fam","yes","0.03","1.21"
"13","A","Gui","yes","0.33","1.54"
"14","H","Rio","yes","0.00","1.54"
"15","A","Boa","yes","0.11","1.65"
"16","H","Pac","yes","-0.49","1.15"
"17","A","Ave","yes","-0.69","0.47"
"18","A","Bel","yes","-0.05","0.42"
"19","H","Ton","yes","-0.69","-0.27"
"20","A","Spo","yes","0.57","0.30"
"21","H","Mor","yes","-0.26","0.04"
"22","A","Pto","yes","0.84","0.88"
"23","H","Set","yes","-0.67","0.21"
"24","A","Bra","yes","0.53","0.75"
"25","H","Gil","yes","-0.26","0.48"
"26","H","Ben","yes","0.52","1.00"
"27","A","SCl","yes","0.19","1.20"
"28","H","Mar","yes","-0.42","0.78"
"29","A","Fam","yes","0.46","1.24"
"30","H","Gui","yes","-0.15","1.09"
"31","A","Rio","yes","0.44","1.53"
"32","H","Boa","yes","-0.42","1.11"
"33","A","Pac","no","0.04","1.15"
"34","H","Ave","no","-1.15","-0.00"
