"","HA","vs","played","sched","cumulative"
"1","A","Set","yes","-0.11","-0.11"
"2","H","Pse","yes","-0.65","-0.76"
"3","A","Mar","yes","0.08","-0.68"
"4","H","SCl","yes","-0.32","-1.00"
"5","A","Rio","yes","0.45","-0.55"
"6","H","Gui","yes","-0.12","-0.67"
"7","A","Boa","yes","0.08","-0.59"
"8","A","Ave","yes","-0.68","-1.27"
"9","H","Ben","yes","0.52","-0.74"
"10","H","Spo","yes","0.16","-0.58"
"11","A","Pac","yes","0.08","-0.50"
"12","H","Bel","yes","-0.52","-1.02"
"13","A","Fam","yes","0.43","-0.60"
"14","A","Pto","yes","0.84","0.25"
"15","H","Gil","yes","-0.32","-0.07"
"16","A","Bra","yes","0.50","0.42"
"17","H","Mor","yes","-0.26","0.16"
"18","H","Set","yes","-0.64","-0.47"
"19","A","Pse","yes","-0.12","-0.60"
"20","H","Mar","yes","-0.44","-1.04"
"21","A","SCl","yes","0.18","-0.85"
"22","H","Rio","yes","0.02","-0.83"
"23","A","Gui","yes","0.35","-0.49"
"24","H","Boa","yes","-0.44","-0.93"
"25","A","Ben","yes","0.76","-0.16"
"26","H","Ave","yes","-1.12","-1.28"
"27","A","Spo","yes","0.54","-0.74"
"28","H","Pac","yes","-0.44","-1.18"
"29","A","Bel","yes","0.00","-1.18"
"30","H","Fam","yes","-0.01","-1.19"
"31","H","Pto","yes","0.68","-0.51"
"32","A","Gil","yes","0.18","-0.32"
"33","H","Bra","yes","0.09","-0.23"
"34","A","Mor","no","0.23","-0.00"
