"","HA","vs","played","sched","cumulative"
"1","H","Boa","yes","-0.32","-0.32"
"2","H","Fam","yes","-0.01","-0.34"
"3","A","Pto","yes","0.79","0.46"
"4","A","Rio","yes","0.36","0.82"
"5","H","Ave","yes","-0.69","0.13"
"6","A","Ton","yes","-0.11","0.02"
"7","H","Pac","yes","-0.36","-0.34"
"8","A","Spo","yes","0.50","0.16"
"9","H","Bel","yes","-0.43","-0.27"
"10","A","Mor","yes","0.20","-0.07"
"11","H","Bra","yes","0.10","0.03"
"12","A","Set","yes","-0.11","-0.08"
"13","H","Pse","yes","-0.44","-0.52"
"14","A","Gil","yes","0.16","-0.36"
"15","H","Ben","yes","0.41","0.04"
"16","A","Mar","yes","0.07","0.11"
"17","H","SCl","yes","-0.26","-0.15"
"18","H","Rio","yes","-0.04","-0.19"
"19","A","Boa","yes","0.06","-0.13"
"20","A","Fam","yes","0.38","0.26"
"21","H","Pto","yes","0.58","0.83"
"22","A","Ave","yes","-0.45","0.38"
"23","H","Ton","yes","-0.46","-0.07"
"24","A","Pac","yes","0.01","-0.06"
"25","H","Spo","yes","0.13","0.07"
"26","A","Bel","yes","-0.07","0.00"
"27","H","Mor","yes","-0.20","-0.20"
"28","A","Bra","yes","0.48","0.28"
"29","H","Set","yes","-0.46","-0.18"
"30","A","Pse","yes","-0.09","-0.27"
"31","H","Gil","yes","-0.24","-0.51"
"32","A","Ben","no","0.70","0.18"
"33","H","Mar","no","-0.32","-0.14"
"34","A","SCl","no","0.14","0.00"
