"","HA","vs","played","sched","cumulative"
"1","A","Mar","yes","-0.07","-0.07"
"2","H","Bra","yes","0.05","-0.02"
"3","A","Pse","yes","-0.17","-0.18"
"4","H","Rio","yes","-0.05","-0.24"
"5","A","Boa","yes","0.06","-0.18"
"6","H","Fam","yes","-0.01","-0.19"
"7","A","Ave","yes","-0.37","-0.56"
"8","H","Gui","yes","-0.09","-0.65"
"9","A","Pac","yes","-0.09","-0.74"
"10","A","Ton","yes","-0.02","-0.76"
"11","H","Bel","yes","-0.27","-1.03"
"12","A","Gil","yes","0.03","-0.99"
"13","H","Mor","yes","-0.21","-1.20"
"14","A","SCl","yes","0.11","-1.09"
"15","H","Pto","yes","0.53","-0.56"
"16","A","Set","yes","0.05","-0.51"
"17","H","Ben","yes","0.46","-0.05"
"18","H","Mar","yes","-0.33","-0.38"
"19","A","Bra","yes","0.40","0.02"
"20","H","Pse","yes","-0.39","-0.37"
"21","A","Rio","yes","0.29","-0.09"
"22","H","Boa","yes","-0.24","-0.33"
"23","A","Fam","yes","0.34","0.01"
"24","H","Ave","yes","-0.52","-0.51"
"25","A","Gui","yes","0.25","-0.26"
"26","H","Pac","yes","-0.34","-0.61"
"27","H","Ton","no","-0.30","-0.91"
"28","A","Bel","no","0.02","-0.88"
"29","H","Gil","no","-0.26","-1.14"
"30","A","Mor","no","0.11","-1.04"
"31","H","SCl","no","-0.20","-1.24"
"32","A","Pto","no","0.77","-0.47"
"33","H","Set","no","-0.25","-0.72"
"34","A","Ben","no","0.72","-0.00"
