"","HA","vs","played","sched","cumulative"
"1","A","Bra","yes","0.60","0.60"
"2","H","Gil","yes","-0.20","0.40"
"3","A","Set","yes","0.13","0.53"
"4","H","Pse","yes","-0.74","-0.21"
"5","A","SCl","yes","0.15","-0.06"
"6","H","Ben","yes","0.69","0.63"
"7","A","Mar","yes","-0.08","0.55"
"8","H","Boa","yes","-0.37","0.18"
"9","A","Rio","yes","0.40","0.58"
"10","H","Gui","yes","-0.10","0.48"
"11","A","Fam","yes","0.35","0.83"
"12","H","Ave","yes","-0.88","-0.05"
"13","A","Spo","yes","0.47","0.42"
"14","H","Bel","yes","-0.42","0.00"
"15","A","Pac","yes","-0.15","-0.15"
"16","H","Pto","yes","0.71","0.56"
"17","A","Ton","yes","-0.07","0.50"
"18","H","Bra","yes","0.26","0.76"
"19","A","Gil","yes","0.24","1.00"
"20","H","Set","yes","-0.32","0.68"
"21","A","Pse","yes","-0.36","0.32"
"22","H","SCl","yes","-0.30","0.02"
"23","A","Ben","yes","0.85","0.87"
"24","H","Mar","no","-0.52","0.35"
"25","A","Boa","no","0.08","0.44"
"26","H","Rio","no","-0.02","0.42"
"27","A","Gui","no","0.33","0.75"
"28","H","Fam","no","-0.08","0.67"
"29","A","Ave","no","-0.55","0.12"
"30","H","Spo","no","0.07","0.19"
"31","A","Bel","no","0.02","0.22"
"32","H","Pac","no","-0.57","-0.36"
"33","A","Pto","no","0.86","0.51"
"34","H","Ton","no","-0.51","0.00"
