"","HA","vs","played","sched","cumulative"
"1","A","Pse","yes","-0.09","-0.09"
"2","H","Ben","yes","0.50","0.41"
"3","A","SCl","yes","0.19","0.60"
"4","H","Boa","yes","-0.39","0.21"
"5","A","Mar","yes","0.10","0.31"
"6","H","Rio","yes","-0.03","0.28"
"7","A","Fam","yes","0.43","0.71"
"8","H","Ave","yes","-1.04","-0.33"
"9","A","Gui","yes","0.32","-0.01"
"10","H","Pac","yes","-0.46","-0.48"
"11","A","Spo","yes","0.56","0.08"
"12","A","Ton","yes","-0.14","-0.06"
"13","H","Pto","yes","0.66","0.61"
"14","A","Mor","yes","0.23","0.84"
"15","H","Bra","yes","0.13","0.97"
"16","A","Gil","yes","0.20","1.16"
"17","H","Set","yes","-0.63","0.54"
"18","H","Pse","yes","-0.59","-0.06"
"19","A","Ben","yes","0.75","0.69"
"20","H","SCl","yes","-0.30","0.39"
"21","A","Boa","yes","0.11","0.50"
"22","H","Mar","yes","-0.40","0.10"
"23","A","Rio","yes","0.41","0.51"
"24","H","Fam","yes","-0.01","0.51"
"25","A","Ave","yes","-0.63","-0.13"
"26","H","Gui","yes","-0.15","-0.27"
"27","A","Pac","yes","0.04","-0.23"
"28","H","Spo","yes","0.19","-0.05"
"29","H","Ton","yes","-0.64","-0.68"
"30","A","Pto","yes","0.84","0.15"
"31","H","Mor","yes","-0.25","-0.10"
"32","A","Bra","yes","0.52","0.42"
"33","H","Gil","yes","-0.29","0.13"
"34","A","Set","no","-0.13","0.00"
