"","HA","vs","played","sched","cumulative"
"1","A","Gil","yes","0.02","0.02"
"2","H","Set","yes","-0.12","-0.10"
"3","A","Ben","yes","0.49","0.39"
"4","H","Gui","yes","-0.06","0.33"
"5","A","Pse","yes","-0.06","0.27"
"6","H","SCl","yes","-0.08","0.19"
"7","A","Rio","yes","0.15","0.34"
"8","H","Fam","yes","-0.03","0.31"
"9","A","Mar","yes","-0.04","0.27"
"10","H","Ave","yes","-0.19","0.08"
"11","A","Boa","yes","0.03","0.11"
"12","H","Pac","yes","-0.12","-0.01"
"13","A","Bel","yes","-0.02","-0.02"
"14","H","Ton","yes","-0.13","-0.16"
"15","A","Spo","yes","0.23","0.08"
"16","A","Mor","yes","0.04","0.12"
"17","H","Bra","yes","0.02","0.14"
"18","H","Gil","yes","-0.11","0.03"
"19","A","Set","yes","-0.01","0.02"
"20","H","Ben","yes","0.22","0.24"
"21","A","Gui","yes","0.10","0.33"
"22","H","Pse","yes","-0.15","0.19"
"23","A","SCl","yes","0.07","0.26"
"24","H","Rio","yes","-0.03","0.23"
"25","A","Fam","yes","0.16","0.39"
"26","H","Mar","yes","-0.14","0.25"
"27","A","Ave","yes","-0.14","0.11"
"28","H","Boa","yes","-0.10","0.01"
"29","A","Pac","no","-0.01","0.00"
"30","H","Bel","no","-0.12","-0.12"
"31","A","Ton","no","-0.03","-0.15"
"32","H","Spo","no","0.02","-0.13"
"33","H","Mor","no","-0.09","-0.23"
"34","A","Bra","no","0.23","-0.00"
