"team","teamId","playedGames","goalDifference","points","rank"
"Sport Lisboa e Benfica",1903,34,62,87,1
"FC Porto",503,34,51,85,2
"Sporting Clube de Braga",5613,34,45,78,3
"Sporting Clube de Portugal",498,34,39,74,4
"FC Arouca",712,34,-1,54,5
"Vitória SC",5543,34,-5,53,6
"GD Chaves",1103,34,-5,46,7
"FC Famalicão",5531,34,-8,44,8
"Boavista FC",810,34,-11,44,9
"Casa Pia AC",6618,34,-9,41,10
"FC Vizela",5589,34,-4,40,11
"Rio Ave FC",496,34,-7,40,12
"Gil Vicente FC",5533,34,-9,37,13
"GD Estoril Praia",582,34,-16,35,14
"Portimonense SC",5601,34,-23,34,15
"CS Marítimo",5575,34,-31,26,16
"FC Paços de Ferreira",507,34,-36,23,17
"CD Santa Clara",5530,34,-32,22,18
