"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date","UTCtime","status"
1,"Sport Lisboa e Benfica",1903,"FC Arouca",712,4,0,"H","2022-08-05","19:15:00","FINISHED"
1,"Rio Ave FC",496,"FC Vizela",5589,0,1,"A","2022-08-06","14:30:00","FINISHED"
1,"GD Estoril Praia",582,"FC Famalicão",5531,2,0,"H","2022-08-06","17:00:00","FINISHED"
1,"FC Porto",503,"CS Marítimo",5575,5,1,"H","2022-08-06","19:30:00","FINISHED"
1,"CD Santa Clara",5530,"Casa Pia AC",6618,0,0,"D","2022-08-07","14:30:00","FINISHED"
1,"Sporting Clube de Braga",5613,"Sporting Clube de Portugal",498,3,3,"D","2022-08-07","17:00:00","FINISHED"
1,"GD Chaves",1103,"Vitória SC",5543,0,1,"A","2022-08-07","19:30:00","FINISHED"
1,"Portimonense SC",5601,"Boavista FC",810,0,1,"A","2022-08-07","19:30:00","FINISHED"
1,"Gil Vicente FC",5533,"FC Paços de Ferreira",507,1,0,"H","2022-08-08","19:15:00","FINISHED"
2,"FC Famalicão",5531,"Sporting Clube de Braga",5613,0,3,"A","2022-08-12","19:15:00","FINISHED"
2,"Casa Pia AC",6618,"Sport Lisboa e Benfica",1903,0,1,"A","2022-08-13","17:00:00","FINISHED"
2,"Sporting Clube de Portugal",498,"Rio Ave FC",496,3,0,"H","2022-08-13","19:30:00","FINISHED"
2,"Boavista FC",810,"CD Santa Clara",5530,2,1,"H","2022-08-14","14:30:00","FINISHED"
2,"FC Vizela",5589,"FC Porto",503,0,1,"A","2022-08-14","17:00:00","FINISHED"
2,"Vitória SC",5543,"GD Estoril Praia",582,1,0,"H","2022-08-14","19:30:00","FINISHED"
2,"CS Marítimo",5575,"GD Chaves",1103,1,2,"A","2022-08-15","14:30:00","FINISHED"
2,"FC Arouca",712,"Gil Vicente FC",5533,1,0,"H","2022-08-15","17:00:00","FINISHED"
2,"FC Paços de Ferreira",507,"Portimonense SC",5601,0,3,"A","2022-08-15","19:30:00","FINISHED"
3,"GD Estoril Praia",582,"Rio Ave FC",496,2,2,"D","2022-08-19","19:15:00","FINISHED"
3,"CD Santa Clara",5530,"FC Arouca",712,1,2,"A","2022-08-20","14:30:00","FINISHED"
3,"GD Chaves",1103,"FC Vizela",5589,1,1,"D","2022-08-20","17:00:00","FINISHED"
3,"FC Porto",503,"Sporting Clube de Portugal",498,3,0,"H","2022-08-20","19:30:00","FINISHED"
3,"Casa Pia AC",6618,"Boavista FC",810,2,0,"H","2022-08-21","14:30:00","FINISHED"
3,"Sporting Clube de Braga",5613,"CS Marítimo",5575,5,0,"H","2022-08-21","17:00:00","FINISHED"
3,"Portimonense SC",5601,"Vitória SC",5543,2,1,"H","2022-08-21","19:30:00","FINISHED"
3,"Gil Vicente FC",5533,"FC Famalicão",5531,0,0,"D","2022-08-22","19:15:00","FINISHED"
