"","HA","vs","played","sched","cumulative"
"1","H","Dus","yes","-0.84","-0.84"
"2","A","Hof","yes","0.38","-0.46"
"3","H","Aug","yes","-0.62","-1.08"
"4","A","UnB","yes","0.15","-0.94"
"5","H","Lei","yes","0.25","-0.69"
"6","A","Dor","yes","0.73","0.04"
"7","A","Fra","yes","0.26","0.30"
"8","H","Her","yes","-0.46","-0.16"
"9","A","Lev","yes","0.61","0.45"
"10","H","Fbg","yes","-0.28","0.17"
"11","A","BMg","yes","0.64","0.81"
"12","H","Sch","yes","-0.52","0.29"
"13","A","Wol","yes","0.38","0.67"
"14","H","Pad","yes","-1.24","-0.57"
"15","A","Mun","yes","0.83","0.26"
"16","H","Mai","yes","-0.60","-0.34"
"17","A","Kln","yes","0.07","-0.27"
"18","A","Dus","yes","-0.14","-0.41"
"19","H","Hof","yes","-0.20","-0.61"
"20","A","Aug","yes","0.06","-0.55"
"21","H","UnB","yes","-0.51","-1.06"
"22","A","Lei","yes","0.65","-0.42"
"23","H","Dor","yes","0.41","-0.01"
"24","A","Her","yes","0.19","0.18"
"25","H","Lev","yes","0.18","0.35"
"26","A","Fbg","yes","0.32","0.68"
"27","H","BMg","yes","0.23","0.91"
"28","A","Sch","yes","0.14","1.05"
"29","H","Fra","yes","-0.36","0.69"
"30","H","Wol","yes","-0.19","0.49"
"31","A","Pad","yes","-0.58","-0.09"
"32","H","Mun","yes","0.62","0.53"
"33","A","Mai","yes","0.08","0.61"
"34","H","Kln","no","-0.61","0.00"
