"","HA","vs","played","sched","cumulative"
"1","A","Dor","yes","0.72","0.72"
"2","H","UnB","yes","-0.42","0.30"
"3","A","Bre","yes","-0.15","0.15"
"4","H","Fra","yes","-0.36","-0.20"
"5","A","Fbg","yes","0.29","0.09"
"6","H","Lev","yes","0.17","0.26"
"7","A","BMg","yes","0.60","0.86"
"8","H","Mun","yes","0.57","1.43"
"9","A","Wol","yes","0.31","1.74"
"10","H","Sch","yes","-0.38","1.37"
"11","A","Pad","yes","-0.46","0.90"
"12","H","Her","yes","-0.46","0.45"
"13","A","Kln","yes","0.08","0.53"
"14","H","Mai","yes","-0.61","-0.08"
"15","A","Hof","yes","0.28","0.20"
"16","H","Dus","yes","-0.69","-0.49"
"17","A","Lei","yes","0.66","0.17"
"18","H","Dor","yes","0.38","0.55"
"19","A","UnB","yes","0.15","0.70"
"20","H","Bre","yes","-0.69","0.01"
"21","A","Fra","yes","0.20","0.21"
"22","H","Fbg","yes","-0.25","-0.04"
"23","A","Lev","yes","0.60","0.55"
"24","H","BMg","yes","0.17","0.73"
"25","A","Mun","yes","0.81","1.54"
"26","H","Wol","yes","-0.23","1.31"
"27","A","Sch","yes","0.19","1.49"
"28","H","Pad","yes","-0.93","0.56"
"29","A","Her","yes","0.11","0.67"
"30","H","Kln","yes","-0.49","0.18"
"31","A","Mai","yes","-0.05","0.13"
"32","H","Hof","no","-0.27","-0.14"
"33","A","Dus","no","-0.14","-0.28"
"34","H","Lei","no","0.28","0.00"
