"","HA","vs","played","sched","cumulative"
"1","H","Kln","yes","-0.40","-0.40"
"2","A","Her","yes","0.08","-0.32"
"3","H","Pad","yes","-0.70","-1.03"
"4","A","Dus","yes","-0.13","-1.16"
"5","H","Hof","yes","-0.24","-1.40"
"6","A","Mai","yes","-0.06","-1.46"
"7","H","UnB","yes","-0.35","-1.81"
"8","A","Lei","yes","0.62","-1.19"
"9","H","Aug","yes","-0.40","-1.59"
"10","A","Dor","yes","0.68","-0.91"
"11","H","Lev","yes","0.13","-0.78"
"12","A","Fra","yes","0.17","-0.62"
"13","H","Bre","yes","-0.55","-1.16"
"14","A","Fbg","yes","0.25","-0.92"
"15","H","BMg","yes","0.13","-0.79"
"16","H","Sch","yes","-0.32","-1.11"
"17","A","Mun","yes","0.79","-0.32"
"18","A","Kln","yes","0.06","-0.27"
"19","H","Her","yes","-0.38","-0.65"
"20","A","Pad","yes","-0.38","-1.02"
"21","H","Dus","yes","-0.55","-1.57"
"22","A","Hof","yes","0.24","-1.33"
"23","H","Mai","yes","-0.49","-1.83"
"24","A","UnB","yes","0.11","-1.71"
"25","H","Lei","yes","0.23","-1.48"
"26","A","Aug","yes","0.06","-1.42"
"27","H","Dor","yes","0.32","-1.10"
"28","A","Lev","yes","0.55","-0.55"
"29","H","Fra","yes","-0.31","-0.86"
"30","A","Bre","yes","-0.13","-0.99"
"31","H","Fbg","yes","-0.23","-1.22"
"32","A","BMg","yes","0.55","-0.67"
"33","A","Sch","no","0.15","-0.52"
"34","H","Mun","no","0.52","0.00"
