"","HA","vs","played","sched","cumulative"
"1","H","Hof","yes","-0.26","-0.26"
"2","A","Lei","yes","0.65","0.39"
"3","H","Dus","yes","-0.62","-0.23"
"4","A","Aug","yes","0.07","-0.15"
"5","H","Dor","yes","0.35","0.20"
"6","A","UnB","yes","0.13","0.33"
"7","H","Bre","yes","-0.62","-0.29"
"8","H","Lev","yes","0.15","-0.14"
"9","A","BMg","yes","0.58","0.44"
"10","H","Mun","yes","0.55","0.99"
"11","A","Fbg","yes","0.27","1.26"
"12","H","Wol","yes","-0.23","1.03"
"13","A","Mai","yes","-0.06","0.98"
"14","H","Her","yes","-0.42","0.56"
"15","A","Sch","yes","0.17","0.72"
"16","H","Kln","yes","-0.44","0.28"
"17","A","Pad","yes","-0.42","-0.14"
"18","A","Hof","yes","0.26","0.12"
"19","H","Lei","yes","0.26","0.38"
"20","A","Dus","yes","-0.14","0.24"
"21","H","Aug","yes","-0.44","-0.20"
"22","A","Dor","yes","0.70","0.50"
"23","H","UnB","yes","-0.39","0.12"
"24","A","Lev","yes","0.58","0.69"
"25","H","BMg","yes","0.15","0.84"
"26","A","Mun","yes","0.80","1.65"
"27","H","Fbg","yes","-0.24","1.40"
"28","A","Wol","yes","0.29","1.69"
"29","A","Bre","yes","-0.14","1.55"
"30","H","Mai","yes","-0.55","1.00"
"31","A","Her","yes","0.10","1.10"
"32","H","Sch","no","-0.35","0.75"
"33","A","Kln","no","0.07","0.81"
"34","H","Pad","no","-0.81","-0.00"
