"","HA","vs","played","sched","cumulative"
"1","A","Bre","yes","-0.35","-0.35"
"2","H","Lev","yes","0.19","-0.16"
"3","A","Fra","yes","0.17","0.01"
"4","H","Wol","yes","-0.30","-0.29"
"5","A","BMg","yes","0.66","0.37"
"6","H","Fbg","yes","-0.27","0.10"
"7","A","Her","yes","0.03","0.13"
"8","H","Mai","yes","-0.68","-0.55"
"9","A","Pad","yes","-0.53","-1.08"
"10","H","Kln","yes","-0.33","-1.40"
"11","A","Sch","yes","0.40","-1.00"
"12","H","Mun","yes","0.44","-0.56"
"13","A","Hof","yes","0.36","-0.20"
"14","A","Dor","yes","0.71","0.51"
"15","H","Lei","yes","0.35","0.86"
"16","A","Aug","yes","0.12","0.98"
"17","H","UnB","yes","-0.46","0.52"
"18","H","Bre","yes","-1.06","-0.53"
"19","A","Lev","yes","0.62","0.09"
"20","H","Fra","yes","-0.50","-0.41"
"21","A","Wol","yes","0.31","-0.10"
"22","H","BMg","yes","0.27","0.17"
"23","A","Fbg","yes","0.34","0.51"
"24","H","Her","yes","-0.67","-0.16"
"25","A","Mai","no","0.02","-0.13"
"26","H","Pad","no","-1.21","-1.35"
"27","A","Kln","no","0.30","-1.05"
"28","H","Sch","no","-0.18","-1.22"
"29","A","Mun","no","0.75","-0.47"
"30","H","Hof","no","-0.23","-0.71"
"31","H","Dor","no","0.36","-0.35"
"32","A","Lei","no","0.71","0.36"
"33","H","Aug","no","-0.56","-0.20"
"34","A","UnB","no","0.20","-0.00"
