"","HA","vs","played","sched","cumulative"
"1","H","Her","yes","-0.16","-0.16"
"2","A","Sch","yes","0.11","-0.05"
"3","H","Mai","yes","-0.20","-0.25"
"4","A","Lei","yes","0.43","0.18"
"5","H","Kln","yes","-0.15","0.03"
"6","A","Pad","yes","-0.15","-0.12"
"7","H","Hof","yes","-0.13","-0.26"
"8","A","Aug","yes","0.02","-0.23"
"9","H","UnB","yes","-0.17","-0.40"
"10","A","Fra","yes","0.02","-0.38"
"11","H","Dor","yes","0.14","-0.24"
"12","A","Dus","yes","-0.08","-0.33"
"13","H","Lev","yes","0.07","-0.26"
"14","A","BMg","yes","0.38","0.12"
"15","H","Bre","yes","-0.23","-0.11"
"16","A","Fbg","yes","0.09","-0.02"
"17","H","Wol","yes","-0.12","-0.14"
"18","A","Her","yes","0.03","-0.11"
"19","H","Sch","yes","-0.12","-0.23"
"20","A","Mai","yes","-0.04","-0.26"
"21","H","Lei","yes","0.10","-0.17"
"22","A","Kln","yes","0.06","-0.11"
"23","H","Pad","yes","-0.25","-0.37"
"24","A","Hof","yes","0.09","-0.28"
"25","H","Aug","yes","-0.17","-0.45"
"26","A","UnB","yes","0.02","-0.42"
"27","H","Fra","yes","-0.17","-0.59"
"28","A","Dor","no","0.48","-0.11"
"29","H","Dus","no","-0.22","-0.34"
"30","A","Lev","no","0.39","0.06"
"31","H","BMg","no","0.06","0.11"
"32","A","Bre","no","-0.09","0.02"
"33","H","Fbg","no","-0.13","-0.11"
"34","A","Wol","no","0.11","-0.00"
