"","HA","vs","played","sched","cumulative"
"1","A","UnB","yes","0.06","0.06"
"2","H","Fra","yes","-0.20","-0.14"
"3","A","BMg","yes","0.44","0.30"
"4","H","Mun","yes","0.19","0.48"
"5","A","Bre","yes","-0.15","0.34"
"6","H","Sch","yes","-0.12","0.22"
"7","A","Lev","yes","0.39","0.61"
"8","H","Wol","yes","-0.15","0.46"
"9","A","Fbg","yes","0.15","0.60"
"10","H","Mai","yes","-0.24","0.36"
"11","A","Her","yes","-0.02","0.35"
"12","H","Kln","yes","-0.16","0.19"
"13","A","Pad","yes","-0.19","-0.01"
"14","H","Hof","yes","-0.13","-0.14"
"15","A","Dus","yes","-0.10","-0.24"
"16","A","Dor","yes","0.50","0.26"
"17","H","Aug","yes","-0.22","0.04"
"18","H","UnB","yes","-0.19","-0.15"
"19","A","Fra","yes","0.05","-0.10"
"20","H","BMg","yes","0.07","-0.03"
"21","A","Mun","yes","0.55","0.52"
"22","H","Bre","yes","-0.31","0.22"
"23","A","Sch","yes","0.19","0.41"
"24","H","Lev","yes","0.03","0.44"
"25","A","Wol","yes","0.13","0.57"
"26","H","Fbg","no","-0.14","0.43"
"27","A","Mai","no","-0.02","0.41"
"28","H","Her","no","-0.24","0.17"
"29","A","Kln","no","0.12","0.29"
"30","H","Pad","no","-0.33","-0.04"
"31","A","Hof","no","0.16","0.12"
"32","H","Dus","no","-0.28","-0.16"
"33","H","Dor","no","0.13","-0.02"
"34","A","Aug","no","0.02","-0.00"
