"team","teamId","playedGames","goalDifference","points","rank"
"PSV",674,15,44,42,1
"AFC Ajax",678,14,17,33,2
"FC Utrecht",676,14,7,32,3
"Feyenoord Rotterdam",675,14,18,29,4
"FC Twente '65",666,15,10,28,5
"AZ",682,14,11,23,6
NA,NA,14,-8,19,7
"Go Ahead Eagles",718,14,-3,18,8
"Fortuna Sittard",1920,14,-4,18,9
"NEC",1915,14,7,16,10
NA,NA,14,-1,16,11
"PEC Zwolle",684,14,-9,15,12
NA,NA,14,-10,15,13
"SC Heerenveen",673,14,-13,15,14
"Heracles Almelo",671,14,-12,13,15
"Sparta Rotterdam",6806,14,-8,11,16
"RKC Waalwijk",683,14,-21,6,17
"Almere City FC",1911,14,-25,6,18
