"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"PSV","PSV Eindhoven",34,90,91,1,1,34,2.68
"Fey","Feyenoord",34,66,84,2,2,34,2.47
"Twe","Twente",34,33,69,3,3,34,2.03
"AZA","AZ Alkmaar",34,31,65,4,4,34,1.91
"Ajx","Ajax",34,13,56,5,5,34,1.65
"NEC","NEC",34,17,53,6,6,34,1.56
"Utr","Utrecht",34,2,50,7,7,34,1.47
"Spa","Sparta Rotterdam",34,3,49,8,8,34,1.44
"GoA","Go Ahead",34,1,46,9,9,34,1.35
"Sit","Fortuna Sittard",34,-19,38,10,10,34,1.12
"Hee","Heerenveen",34,-17,37,11,11,34,1.09
"Zwo","Zwolle",34,-22,36,12,12,34,1.06
"Alm","Almere City",34,-26,34,13,13,34,1
"Her","Heracles",34,-33,33,14,14,34,0.97
"RKC","RKC Waalwijk",34,-18,29,15,15,34,0.85
"Exc","Excelsior",34,-23,29,16,16,34,0.85
"Vol","Volendam",34,-54,19,17,17,34,0.56
"Vit","Vitesse",34,-44,6,18,18,34,0.18
