"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Mun","Bayern Munich",34,67,82,1,1,34,2.41
"Lev","Bayer Leverkusen",34,29,69,2,2,34,2.03
"Fra","Eintracht Frankfurt",34,22,60,3,3,34,1.76
"Dor","Borussia Dortmund",34,20,57,4,4,34,1.68
"Fbg","Freiburg",34,-4,55,5,5,34,1.62
"Mai","Mainz",34,12,52,6,6,34,1.53
"Lei","RB Leipzig",34,5,51,7,7,34,1.5
"Bre","Werder Bremen",34,-3,51,8,8,34,1.5
"Stu","Stuttgart",34,11,50,9,9,34,1.47
"BMg","Borussia M'gladbach",34,-2,45,10,10,34,1.32
"Wol","Wolfsburg",34,2,43,11,11,34,1.26
"Aug","Augsburg",34,-16,43,12,12,34,1.26
"UnB","Union Berlin",34,-16,40,13,13,34,1.18
"StP","St. Pauli",34,-13,32,14,14,34,0.94
"Hof","Hoffenheim",34,-22,32,15,15,34,0.94
"Hei","Heidenheim",34,-27,29,16,16,34,0.85
"Kie","Holstein Kiel",34,-31,25,17,17,34,0.74
"Boc","Bochum",34,-34,25,18,18,34,0.74
