fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
2,TSG 1899 Hoffenheim,Hoffenheim,Hof,NA,Hoffenheim,0
3,Bayer 04 Leverkusen,Leverkusen,Lev,NA,Bayer Leverkusen,0
4,Borussia Dortmund,Dortmund,Dor,NA,Borussia Dortmund,0
5,FC Bayern München,Bayern Munich,Mun,NA,Bayern Munich,0
10,VfB Stuttgart,Stuttgart,Stu,NA,Stuttgart,0
11,VfL Wolfsburg,Wolfsburg,Wol,NA,Wolfsburg,0
12,SV Werder Bremen,Bremen,Bre,NA,Werder Bremen,0
15,1. FSV Mainz 05,Mainz,Mai,NA,Mainz 05,0
16,FC Augsburg,Augsburg,Aug,NA,Augsburg,0
17,SC Freiburg,Freiburg,Fbg,NA,Freiburg,0
18,Borussia Mönchengladbach,M'gladbach,BMg,NA,Borussia M&#x27;gladbach,0
19,Eintracht Frankfurt,Frankfurt,Fra,NA,Eintracht Frankfurt,0
20,FC St. Pauli 1910,St. Pauli,StP,NA,St. Pauli,0
28,1. FC Union Berlin,Union Berlin,UnB,NA,Union Berlin,0
36,VfL Bochum 1848,Bochum,Boc,NA,Bochum,0
44,1. FC Heidenheim 1846,Heidenheim,Hei,NA,Heidenheim,0
720,Holstein Kiel,Holstein Kiel,Kie,NA,Holstein Kiel,0
721,RB Leipzig,RB Leipzig,Lei,NA,RB Leipzig,0
