"team","teamId","playedGames","goalDifference","points","rank"
"FC Bayern München",5,34,67,82,1
"Bayer 04 Leverkusen",3,34,29,69,2
"Eintracht Frankfurt",19,34,22,60,3
"Borussia Dortmund",4,34,20,57,4
"SC Freiburg",17,34,-4,55,5
"1. FSV Mainz 05",15,34,12,52,6
"RB Leipzig",721,34,5,51,7
"SV Werder Bremen",12,34,-3,51,8
"VfB Stuttgart",10,34,11,50,9
"Borussia Mönchengladbach",18,34,-2,45,10
"VfL Wolfsburg",11,34,2,43,11
"FC Augsburg",16,34,-16,43,12
"1. FC Union Berlin",28,34,-16,40,13
"FC St. Pauli 1910",20,34,-13,32,14
"TSG 1899 Hoffenheim",2,34,-22,32,15
"1. FC Heidenheim 1846",44,34,-27,29,16
"Holstein Kiel",720,34,-31,25,17
"VfL Bochum 1848",36,34,-34,25,18
