"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"MnC","Manchester City",38,72,98,1,1,38,2.58
"Liv","Liverpool",38,67,97,2,2,38,2.55
"Che","Chelsea",38,24,72,3,3,38,1.89
"Tot","Tottenham Hotspur",38,28,71,4,4,38,1.87
"Ars","Arsenal",38,21,70,5,5,38,1.84
"MnU","Manchester United",38,11,66,6,6,38,1.74
"Wol","Wolverhampton Wanderers",38,1,57,7,7,38,1.5
"Eve","Everton",38,8,54,8,8,38,1.42
"Lei","Leicester City",38,3,52,9,9,38,1.37
"WHU","West Ham United",38,-3,52,10,10,38,1.37
"Wat","Watford",38,-7,50,11,11,38,1.32
"Pal","Crystal Palace",38,-2,49,12,12,38,1.29
"New","Newcastle United",38,-6,45,13,13,38,1.18
"Bou","AFC Bournemouth",38,-14,45,14,14,38,1.18
"Bur","Burnley",38,-22,40,15,15,38,1.05
"Sot","Southampton",38,-20,39,16,16,38,1.03
"BHA","Brighton & Hove Albion",38,-25,36,17,17,38,0.95
"Car","Cardiff City",38,-35,34,18,18,38,0.89
"Ful","Fulham",38,-47,26,19,19,38,0.68
"Hud","Huddersfield Town",38,-54,16,20,20,38,0.42
