"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date"
1,"Manchester United FC",66,"Leicester City FC",338,2,1,"H","2018-08-10"
1,"Newcastle United FC",67,"Tottenham Hotspur FC",73,1,2,"A","2018-08-11"
1,"Fulham FC",63,"Crystal Palace FC",354,0,2,"A","2018-08-11"
1,"Huddersfield Town AFC",394,"Chelsea FC",61,0,3,"A","2018-08-11"
1,"Watford FC",346,"Brighton & Hove Albion FC",397,2,0,"H","2018-08-11"
1,"AFC Bournemouth",1044,"Cardiff City FC",715,2,0,"H","2018-08-11"
1,"Wolverhampton Wanderers FC",76,"Everton FC",62,2,2,"D","2018-08-11"
1,"Liverpool FC",64,"West Ham United FC",563,4,0,"H","2018-08-12"
1,"Southampton FC",340,"Burnley FC",328,0,0,"D","2018-08-12"
1,"Arsenal FC",57,"Manchester City FC",65,0,2,"A","2018-08-12"
2,"Cardiff City FC",715,"Newcastle United FC",67,0,0,"D","2018-08-18"
2,"Tottenham Hotspur FC",73,"Fulham FC",63,3,1,"H","2018-08-18"
2,"Everton FC",62,"Southampton FC",340,2,1,"H","2018-08-18"
2,"Leicester City FC",338,"Wolverhampton Wanderers FC",76,2,0,"H","2018-08-18"
2,"West Ham United FC",563,"AFC Bournemouth",1044,1,2,"A","2018-08-18"
2,"Chelsea FC",61,"Arsenal FC",57,3,2,"H","2018-08-18"
2,"Manchester City FC",65,"Huddersfield Town AFC",394,6,1,"H","2018-08-19"
2,"Burnley FC",328,"Watford FC",346,1,3,"A","2018-08-19"
2,"Brighton & Hove Albion FC",397,"Manchester United FC",66,3,2,"H","2018-08-19"
2,"Crystal Palace FC",354,"Liverpool FC",64,0,2,"A","2018-08-20"
3,"Wolverhampton Wanderers FC",76,"Manchester City FC",65,1,1,"D","2018-08-25"
3,"Arsenal FC",57,"West Ham United FC",563,3,1,"H","2018-08-25"
3,"Huddersfield Town AFC",394,"Cardiff City FC",715,0,0,"D","2018-08-25"
3,"Southampton FC",340,"Leicester City FC",338,1,2,"A","2018-08-25"
3,"AFC Bournemouth",1044,"Everton FC",62,2,2,"D","2018-08-25"
3,"Liverpool FC",64,"Brighton & Hove Albion FC",397,1,0,"H","2018-08-25"
3,"Watford FC",346,"Crystal Palace FC",354,2,1,"H","2018-08-26"
