"team","teamId","playedGames","goalDifference","points","rank"
"FC Bayern München",5,34,86,89,1
"Borussia Dortmund",4,34,36,73,2
"RB Leipzig",721,34,19,65,3
"VfB Stuttgart",10,34,22,62,4
"TSG 1899 Hoffenheim",2,34,13,61,5
"Bayer 04 Leverkusen",3,34,21,59,6
"SC Freiburg",17,34,-6,47,7
"Eintracht Frankfurt",19,34,-4,44,8
"FC Augsburg",16,34,-16,43,9
"1. FSV Mainz 05",15,34,-9,40,10
"1. FC Union Berlin",28,34,-14,39,11
"Borussia Mönchengladbach",18,34,-11,38,12
"Hamburger SV",7,34,-14,38,13
"1. FC Köln",1,34,-14,32,14
"SV Werder Bremen",12,34,-23,32,15
"VfL Wolfsburg",11,34,-24,29,16
"1. FC Heidenheim 1846",44,34,-31,26,17
"FC St. Pauli 1910",20,34,-31,26,18
