"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Mun","Bayern",34,86,89,1,1,34,2.62
"Dor","Dortmund",34,36,73,2,2,34,2.15
"Lei","RB Leipzig",34,19,65,3,3,34,1.91
"Stu","Stuttgart",34,22,62,4,4,34,1.82
"Hof","Hoffenheim",34,13,61,5,5,34,1.79
"Lev","Leverkusen",34,21,59,6,6,34,1.74
"Fbg","Freiburg",34,-6,47,7,7,34,1.38
"Fra","Frankfurt",34,-4,44,8,8,34,1.29
"Aug","Augsburg",34,-16,43,9,9,34,1.26
"Mai","Mainz",34,-9,40,10,10,34,1.18
"UnB","Union Berlin",34,-14,39,11,11,34,1.15
"BMg","M'gladbach",34,-11,38,12,12,34,1.12
"HSV","HSV",34,-14,38,13,13,34,1.12
"Kln","1. FC Köln",34,-14,32,14,14,34,0.94
"Bre","Bremen",34,-23,32,15,15,34,0.94
"Wol","Wolfsburg",34,-24,29,16,16,34,0.85
"Hei","Heidenheim",34,-31,26,17,17,34,0.76
"StP","St. Pauli",34,-31,26,18,18,34,0.76
