,fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
1,1,1. FC Köln,1. FC Köln,Kln,NA,Köln,0
2,2,TSG 1899 Hoffenheim,Hoffenheim,Hof,NA,Hoffenheim,0
3,3,Bayer 04 Leverkusen,Leverkusen,Lev,NA,Bayer Leverkusen,0
4,4,Borussia Dortmund,Dortmund,Dor,NA,Borussia Dortmund,0
5,5,FC Bayern München,Bayern,Mun,NA,Bayern Munich,0
6,7,Hamburger SV,HSV,HSV,NA,Hamburger SV,0
7,10,VfB Stuttgart,Stuttgart,Stu,NA,Stuttgart,0
8,11,VfL Wolfsburg,Wolfsburg,Wol,NA,Wolfsburg,0
9,12,SV Werder Bremen,Bremen,Bre,NA,Werder Bremen,0
10,15,1. FSV Mainz 05,Mainz,Mai,NA,Mainz 05,0
11,16,FC Augsburg,Augsburg,Aug,NA,Augsburg,0
12,17,SC Freiburg,Freiburg,Fbg,NA,Freiburg,0
13,18,Borussia Mönchengladbach,M'gladbach,BMg,NA,Borussia M&#x27;gladbach,0
14,19,Eintracht Frankfurt,Frankfurt,Fra,NA,Eintracht Frankfurt,0
15,20,FC St. Pauli 1910,St. Pauli,StP,NA,St. Pauli,0
16,28,1. FC Union Berlin,Union Berlin,UnB,NA,Union Berlin,0
17,44,1. FC Heidenheim 1846,Heidenheim,Hei,NA,Heidenheim,0
18,721,RB Leipzig,RB Leipzig,Lei,NA,RB Leipzig,0
