"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Bar","yes",3,"0.98","0.29","0.29"
"2","H","Der","yes",3,"1.92","-0.39","-0.10"
"3","A","Wat","yes",0,"0.34","0.76","0.66"
"4","H","Wyc","yes",3,"2.11","-0.53","0.13"
"5","H","Sto","yes",0,"1.64","-0.19","-0.06"
"6","A","Mil","yes",0,"1.42","-0.03","-0.09"
"7","A","ShW","yes",3,"1.29","0.07","-0.02"
"8","H","Not","yes",1,"1.58","-0.15","-0.17"
"9","H","Bre","yes",0,"1.07","0.23","0.06"
"10","A","Rot","yes",3,"1.87","-0.36","-0.30"
"11","A","Hud","yes",1,"1.26","0.09","-0.21"
"12","H","Bla","yes",1,"1.74","-0.26","-0.47"
"13","H","Bir","yes",1,"1.43","-0.04","-0.51"
"14","A","Car","yes",0,"1.47","-0.07","-0.58"
"15","H","Nor","yes",3,"0.67","0.51","-0.07"
"16","A","Swa","yes",0,"0.97","0.30","0.23"
"17","A","Cov","yes",1,"1.10","0.20","0.44"
"18","H","PNE","yes",3,"1.35","0.02","0.46"
"19","A","Mid","yes",0,"1.05","0.24","0.70"
"20","H","Bou","yes",1,"1.23","0.11","0.81"
"21","A","Rea","yes",0,"0.93","0.32","1.13"
"22","H","Bri","yes",3,"1.42","-0.03","1.10"
"23","H","QPR","yes",0,"1.50","-0.09","1.01"
"24","A","Bou","yes",3,"0.78","0.43","1.45"
"25","A","Bre","yes",0,"0.91","0.34","1.79"
"26","A","Bla","yes",0,"1.37","0.01","1.81"
"27","H","Hud","yes",1,"1.99","-0.44","1.37"
"28","A","Bir","yes",3,"1.76","-0.27","1.09"
"29","H","Car","yes",0,"1.14","0.18","1.27"
"30","A","Sto","yes",0,"1.17","0.15","1.42"
"31","H","Mil","yes",1,"1.33","0.04","1.46"
"32","H","ShW","yes",3,"2.13","-0.54","0.92"
"33","A","Not","yes",3,"1.54","-0.12","0.80"
"34","A","Nor","yes",0,"0.76","0.45","1.25"
"35","H","Swa","yes",0,"1.08","0.22","1.47"
"36","H","Cov","yes",3,"2.14","-0.55","0.92"
"37","A","PNE","yes",3,"1.71","-0.24","0.68"
"38","A","Der","yes",0,"1.54","-0.12","0.56"
"39","H","Bar","yes",0,"1.18","0.15","0.71"
"40","A","Wyc","yes",3,"1.78","-0.29","0.42"
"41","H","Wat","yes",3,"1.37","0.01","0.43"
"42","H","Rea","no",NA,"1.42","-0.03","0.40"
"43","A","Bri","no",NA,"1.62","-0.17","0.23"
"44","H","Mid","no",NA,"1.65","-0.20","0.03"
"45","H","Rot","no",NA,"1.65","-0.20","-0.17"
"46","A","QPR","no",NA,"1.15","0.17","0.00"
