"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Rea","yes",0,"1.07","-0.02","-0.02"
"2","A","Lut","yes",0,"0.96","0.08","0.05"
"3","H","Bla","yes",0,"1.32","-0.27","-0.22"
"4","A","Nor","yes",3,"0.39","0.62","0.41"
"5","H","Wat","yes",0,"1.05","-0.01","0.40"
"6","A","Hud","yes",0,"0.92","0.11","0.51"
"7","A","Not","yes",1,"1.10","-0.05","0.46"
"8","H","Car","yes",1,"0.80","0.23","0.69"
"9","A","Bou","yes",1,"0.53","0.49","1.18"
"10","H","QPR","yes",0,"1.35","-0.30","0.88"
"11","H","Bar","yes",0,"0.77","0.26","1.14"
"12","A","Bri","yes",0,"1.26","-0.21","0.93"
"13","A","Mid","yes",0,"0.68","0.35","1.28"
"14","H","Wyc","yes",1,"1.84","-0.76","0.52"
"15","H","Cov","yes",1,"1.83","-0.75","-0.23"
"16","A","Mil","yes",3,"1.07","-0.03","-0.26"
"17","A","Bre","yes",1,"0.58","0.44","0.18"
"18","H","Sto","yes",1,"1.28","-0.23","-0.05"
"19","H","Swa","yes",3,"0.77","0.26","0.22"
"20","H","PNE","yes",0,"0.98","0.06","0.28"
"21","A","Bir","yes",3,"1.40","-0.35","-0.07"
"22","A","ShW","yes",0,"1.00","0.04","-0.02"
"23","H","Rot","yes",0,"1.29","-0.24","-0.26"
"24","H","Bou","yes",3,"0.98","0.06","-0.20"
"25","A","QPR","yes",3,"0.82","0.21","0.01"
"26","H","Bri","yes",3,"1.04","-0.00","0.01"
"27","A","Rot","yes",0,"1.48","-0.42","-0.42"
"28","H","Mid","yes",3,"1.29","-0.24","-0.66"
"29","A","Wyc","yes",3,"1.42","-0.36","-1.02"
"30","A","Wat","yes",0,"0.22","0.79","-0.23"
"31","H","Hud","yes",3,"1.78","-0.71","-0.93"
"32","H","Not","yes",1,"1.22","-0.17","-1.11"
"33","A","Car","yes",0,"1.12","-0.07","-1.18"
"34","A","Cov","yes",0,"0.86","0.17","-1.01"
"35","A","Bar","yes",1,"0.69","0.34","-0.67"
"36","H","Mil","yes",0,"0.97","0.07","-0.60"
"37","H","Bre","yes",1,"0.76","0.28","-0.33"
"38","A","Sto","yes",0,"0.82","0.21","-0.12"
"39","H","Lut","yes",3,"1.15","-0.10","-0.22"
"40","A","Rea","yes",0,"0.65","0.38","0.16"
"41","H","Nor","yes",0,"0.46","0.56","0.72"
"42","A","Bla","yes",0,"1.01","0.03","0.75"
"43","A","PNE","no",NA,"1.45","-0.39","0.36"
"44","H","Bir","no",NA,"1.12","-0.08","0.28"
"45","A","Swa","no",NA,"0.56","0.46","0.74"
"46","H","ShW","no",NA,"1.82","-0.74","-0.00"
