"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Cov","yes",3,"1.64","-0.39","-0.39"
"2","A","Sto","yes",3,"1.27","-0.07","-0.46"
"3","H","ShW","yes",3,"1.77","-0.50","-0.96"
"4","A","Not","yes",3,"1.53","-0.30","-1.26"
"5","A","Bar","yes",1,"0.98","0.17","-1.09"
"6","H","Mid","yes",0,"1.19","-0.00","-1.09"
"7","H","Swa","yes",1,"0.73","0.38","-0.71"
"8","A","Bou","yes",0,"0.78","0.34","-0.37"
"9","H","Nor","yes",0,"0.43","0.63","0.26"
"10","A","Hud","yes",3,"1.31","-0.11","0.15"
"11","A","Car","yes",3,"1.47","-0.24","-0.09"
"12","H","Der","yes",3,"1.52","-0.29","-0.38"
"13","H","Wat","yes",1,"0.97","0.17","-0.21"
"14","A","Rea","yes",0,"0.93","0.21","0.00"
"15","A","QPR","yes",3,"1.15","0.03","0.03"
"16","H","Bir","yes",0,"1.03","0.13","0.15"
"17","H","Bla","yes",3,"1.33","-0.13","0.03"
"18","A","Rot","yes",0,"1.92","-0.62","-0.60"
"19","H","Mil","yes",0,"0.94","0.20","-0.39"
"20","A","PNE","yes",0,"1.71","-0.45","-0.84"
"21","H","Wyc","yes",3,"1.75","-0.48","-1.32"
"22","A","Lut","yes",0,"1.24","-0.05","-1.37"
"23","H","PNE","yes",3,"0.96","0.19","-1.18"
"24","A","Nor","yes",0,"0.75","0.36","-0.82"
"25","H","Hud","yes",3,"1.60","-0.35","-1.17"
"26","A","Der","yes",0,"1.54","-0.30","-1.48"
"27","A","Bre","yes",0,"0.90","0.24","-1.24"
"28","H","Car","yes",0,"0.78","0.34","-0.90"
"29","A","Wat","yes",0,"0.33","0.72","-0.18"
"30","H","Rea","yes",0,"1.04","0.12","-0.06"
"31","H","Bar","yes",0,"0.76","0.36","0.29"
"32","A","Mid","yes",3,"1.05","0.11","0.40"
"33","A","Swa","yes",3,"0.96","0.18","0.58"
"34","H","Bou","yes",0,"0.81","0.32","0.90"
"35","H","QPR","yes",0,"1.09","0.08","0.98"
"36","A","Bir","yes",3,"1.75","-0.49","0.49"
"37","A","Bla","yes",1,"1.36","-0.15","0.34"
"38","H","Rot","yes",0,"1.24","-0.05","0.29"
"39","H","Sto","yes",0,"1.22","-0.04","0.25"
"40","A","Cov","yes",0,"1.10","0.07","0.32"
"41","H","Not","yes",1,"1.21","-0.02","0.29"
"42","A","ShW","yes",1,"1.28","-0.09","0.21"
"43","A","Wyc","yes",0,"1.67","-0.42","-0.21"
"44","H","Lut","no",NA,"1.11","0.06","-0.15"
"45","A","Mil","no",NA,"1.46","-0.24","-0.39"
"46","H","Bre","no",NA,"0.72","0.39","-0.00"
