"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Hud","yes",3,"2.18","-0.04","-0.04"
"2","H","PNE","yes",1,"1.89","0.09","0.05"
"3","A","Bou","yes",0,"1.70","0.18","0.23"
"4","H","Der","yes",0,"2.34","-0.12","0.11"
"5","A","Rot","yes",3,"2.55","-0.22","-0.11"
"6","H","Bir","yes",3,"1.96","0.06","-0.05"
"7","H","Wyc","yes",3,"2.47","-0.19","-0.24"
"8","A","Bre","yes",1,"1.85","0.11","-0.13"
"9","A","Bri","yes",3,"2.41","-0.16","-0.28"
"10","H","Mil","yes",1,"1.87","0.10","-0.18"
"11","H","Swa","yes",3,"1.62","0.22","0.04"
"12","A","Mid","yes",3,"2.00","0.04","0.08"
"13","A","Sto","yes",3,"2.10","-0.01","0.07"
"14","H","Cov","yes",1,"2.49","-0.20","-0.12"
"15","A","Lut","yes",0,"2.14","-0.03","-0.15"
"16","H","ShW","yes",3,"2.49","-0.19","-0.34"
"17","H","Not","yes",3,"2.09","-0.00","-0.34"
"18","A","Bla","yes",3,"2.25","-0.08","-0.42"
"19","A","Rea","yes",3,"1.88","0.10","-0.33"
"20","H","Car","yes",3,"1.68","0.19","-0.13"
"21","A","Wat","yes",0,"0.95","0.54","0.41"
"22","H","QPR","yes",1,"2.02","0.03","0.44"
"23","H","Bar","yes",3,"1.73","0.17","0.61"
"24","A","Car","yes",3,"2.33","-0.11","0.50"
"25","H","Bri","yes",3,"1.96","0.06","0.56"
"26","H","Mid","yes",1,"2.15","-0.03","0.53"
"27","A","Mil","yes",1,"2.29","-0.10","0.43"
"28","A","Swa","yes",0,"1.92","0.08","0.51"
"29","H","Sto","yes",3,"2.14","-0.02","0.49"
"30","A","Cov","yes",3,"2.04","0.02","0.51"
"31","H","Rot","yes",3,"2.15","-0.03","0.48"
"32","A","Bir","yes",3,"2.49","-0.19","0.29"
"33","A","Wyc","yes",3,"2.50","-0.20","0.09"
"34","H","Bre","yes",3,"1.61","0.23","0.31"
"35","H","Lut","yes",3,"2.04","0.02","0.34"
"36","A","ShW","yes",3,"2.20","-0.05","0.29"
"37","A","Not","yes",3,"2.37","-0.14","0.15"
"38","H","Bla","yes",1,"2.22","-0.06","0.09"
"39","A","PNE","yes",1,"2.47","-0.18","-0.09"
"40","H","Hud","yes",3,"2.39","-0.15","-0.24"
"41","A","Der","yes",3,"2.37","-0.14","-0.38"
"42","H","Bou","yes",0,"1.77","0.15","-0.23"
"43","H","Wat","yes",0,"1.91","0.09","-0.14"
"44","A","QPR","no",NA,"2.09","-0.00","-0.14"
"45","H","Rea","no",NA,"1.95","0.06","-0.08"
"46","A","Bar","no",NA,"1.93","0.08","0.00"
