"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Swa","yes",0,"0.57","0.52","0.52"
"2","A","Nor","yes",1,"0.73","0.38","0.89"
"3","H","Sto","yes",0,"1.01","0.14","1.04"
"4","A","Bre","yes",3,"1.04","0.12","1.16"
"5","H","Car","yes",0,"0.60","0.49","1.65"
"6","A","QPR","yes",3,"1.35","-0.15","1.51"
"7","A","Hud","yes",3,"1.48","-0.25","1.25"
"8","H","Mil","yes",0,"0.74","0.37","1.62"
"9","H","Bir","yes",0,"0.87","0.26","1.89"
"10","A","Rea","yes",3,"1.13","0.04","1.93"
"11","A","Rot","yes",0,"2.03","-0.72","1.21"
"12","H","ShW","yes",3,"1.54","-0.30","0.90"
"13","H","Bla","yes",0,"1.05","0.11","1.02"
"14","A","Wat","yes",0,"0.43","0.64","1.65"
"15","A","Bou","yes",3,"0.95","0.19","1.84"
"16","H","Wyc","yes",1,"1.56","-0.32","1.52"
"17","H","Mid","yes",3,"1.02","0.13","1.65"
"18","A","Lut","yes",0,"1.52","-0.29","1.36"
"19","A","Bar","yes",0,"1.18","-0.01","1.36"
"20","H","Bri","yes",3,"0.80","0.32","1.68"
"21","A","Der","yes",3,"1.76","-0.49","1.19"
"22","H","Cov","yes",3,"1.55","-0.32","0.87"
"23","H","Not","yes",0,"0.96","0.19","1.06"
"24","A","Bri","yes",0,"1.83","-0.55","0.51"
"25","A","Bir","yes",3,"1.96","-0.66","-0.15"
"26","H","Rea","yes",1,"0.82","0.30","0.15"
"27","A","ShW","yes",0,"1.56","-0.32","-0.17"
"28","H","Rot","yes",0,"1.02","0.14","-0.03"
"29","A","Bla","yes",3,"1.58","-0.34","-0.37"
"30","H","Wat","yes",0,"0.81","0.31","-0.06"
"31","A","Car","yes",0,"1.69","-0.43","-0.49"
"32","H","QPR","yes",1,"1.08","0.09","-0.40"
"33","H","Hud","yes",3,"1.50","-0.27","-0.68"
"34","A","Mil","yes",0,"1.64","-0.39","-1.06"
"35","H","Bou","yes",1,"0.75","0.37","-0.70"
"36","A","Wyc","yes",0,"1.97","-0.67","-1.37"
"37","A","Mid","yes",0,"1.17","0.01","-1.36"
"38","H","Lut","yes",0,"0.89","0.25","-1.12"
"39","H","Nor","yes",1,"0.33","0.72","-0.40"
"40","A","Swa","yes",3,"1.00","0.15","-0.25"
"41","H","Bre","yes",0,"0.56","0.52","0.28"
"42","A","Sto","no",NA,"1.36","-0.15","0.13"
"43","H","Der","no",NA,"1.22","-0.03","0.09"
"44","A","Cov","no",NA,"1.40","-0.19","-0.10"
"45","H","Bar","no",NA,"0.58","0.51","0.41"
"46","A","Not","no",NA,"1.67","-0.41","-0.00"
