"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Bri","yes",0,"1.04","0.13","0.13"
"2","H","QPR","yes",3,"1.63","-0.37","-0.24"
"3","A","Bar","yes",1,"0.55","0.54","0.30"
"4","H","Bou","yes",0,"1.30","-0.10","0.21"
"5","A","Bre","yes",0,"0.50","0.58","0.79"
"6","H","Swa","yes",1,"1.21","-0.02","0.77"
"7","H","Bla","yes",0,"1.86","-0.57","0.21"
"8","A","Mid","yes",0,"0.60","0.50","0.71"
"9","H","Rea","yes",3,"1.57","-0.32","0.39"
"10","A","Not","yes",0,"0.97","0.18","0.57"
"11","A","Wat","yes",0,"0.17","0.86","1.43"
"12","H","Bir","yes",1,"1.57","-0.32","1.11"
"13","H","Car","yes",3,"1.27","-0.06","1.05"
"14","A","Nor","yes",1,"0.40","0.66","1.71"
"15","A","Der","yes",1,"0.98","0.18","1.89"
"16","H","Rot","yes",3,"1.78","-0.50","1.39"
"17","H","Lut","yes",1,"1.65","-0.38","1.01"
"18","A","Wyc","yes",3,"1.10","0.08","1.08"
"19","H","Hud","yes",1,"2.10","-0.76","0.32"
"20","A","ShW","yes",0,"0.76","0.36","0.68"
"21","H","Sto","yes",1,"1.76","-0.48","0.20"
"22","A","PNE","yes",0,"1.14","0.04","0.24"
"23","A","Mil","yes",3,"0.91","0.24","0.48"
"24","A","Rea","yes",0,"0.51","0.57","1.04"
"25","H","ShW","yes",3,"2.23","-0.87","0.17"
"26","A","Bir","yes",1,"1.18","0.01","0.18"
"27","H","Not","yes",0,"1.75","-0.47","-0.29"
"28","H","Wat","yes",1,"1.50","-0.26","-0.55"
"29","A","Car","yes",0,"0.92","0.23","-0.32"
"30","H","Nor","yes",0,"0.77","0.35","0.03"
"31","H","Bre","yes",3,"1.20","-0.01","0.02"
"32","A","Swa","yes",0,"0.54","0.55","0.57"
"33","A","Bla","yes",1,"0.83","0.31","0.88"
"34","H","Mid","yes",0,"1.73","-0.45","0.43"
"35","H","Der","yes",3,"2.03","-0.71","-0.28"
"36","A","Lut","yes",0,"0.73","0.39","0.11"
"37","H","Wyc","yes",1,"2.22","-0.86","-0.76"
"38","A","QPR","yes",0,"0.66","0.44","-0.31"
"39","H","Bri","yes",3,"1.64","-0.38","-0.69"
"40","A","Bou","yes",0,"0.42","0.65","-0.05"
"41","A","Rot","yes",3,"1.35","-0.14","-0.18"
"42","H","Bar","yes",3,"1.24","-0.05","-0.23"
"43","A","Sto","yes",3,"0.75","0.37","0.14"
"44","H","PNE","no",NA,"1.48","-0.25","-0.11"
"45","A","Hud","no",NA,"0.79","0.34","0.23"
"46","H","Mil","no",NA,"1.46","-0.23","0.00"
