"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Mil","yes",1,"1.30","0.04","0.04"
"2","H","Bri","yes",0,"1.47","-0.08","-0.04"
"3","A","PNE","yes",3,"1.69","-0.25","-0.29"
"4","H","Bir","yes",1,"1.56","-0.15","-0.43"
"5","A","Lut","yes",3,"1.19","0.13","-0.31"
"6","H","Bar","yes",1,"1.16","0.15","-0.16"
"7","H","Bre","yes",3,"1.13","0.17","0.01"
"8","A","Swa","yes",0,"0.73","0.46","0.47"
"9","H","Rot","yes",3,"1.73","-0.27","0.20"
"10","A","Wat","yes",0,"0.29","0.79","0.99"
"11","A","Rea","yes",3,"0.81","0.40","1.39"
"12","H","Hud","yes",3,"2.15","-0.59","0.81"
"13","H","Nor","yes",0,"0.73","0.46","1.27"
"14","A","ShW","yes",1,"1.22","0.10","1.37"
"15","A","Wyc","yes",3,"1.66","-0.22","1.15"
"16","H","Mid","yes",3,"1.73","-0.27","0.87"
"17","H","Car","yes",0,"1.17","0.14","1.01"
"18","A","Der","yes",1,"1.43","-0.05","0.96"
"19","A","QPR","yes",1,"1.03","0.24","1.20"
"20","H","Bla","yes",3,"1.76","-0.29","0.91"
"21","A","Cov","yes",1,"1.07","0.21","1.12"
"22","H","Not","yes",1,"1.66","-0.22","0.90"
"23","H","Bou","yes",0,"1.40","-0.03","0.87"
"24","A","Bla","yes",1,"1.31","0.04","0.90"
"25","A","Rot","yes",1,"1.62","-0.20","0.71"
"26","H","Wat","yes",0,"1.48","-0.09","0.62"
"27","A","Hud","yes",1,"1.14","0.16","0.78"
"28","H","Rea","yes",1,"1.50","-0.10","0.68"
"29","A","Nor","yes",0,"0.51","0.62","1.30"
"30","H","ShW","yes",3,"2.19","-0.61","0.69"
"31","H","Lut","yes",3,"1.58","-0.16","0.53"
"32","A","Bar","yes",0,"0.88","0.35","0.88"
"33","A","Bre","yes",0,"0.75","0.45","1.33"
"34","H","Swa","yes",0,"1.15","0.15","1.48"
"35","H","Wyc","yes",3,"2.20","-0.62","0.86"
"36","A","Mid","yes",0,"0.86","0.37","1.23"
"37","A","Car","yes",1,"1.35","0.00","1.23"
"38","H","Der","yes",3,"1.86","-0.37","0.86"
"39","A","Bri","yes",3,"1.50","-0.10","0.76"
"40","H","Mil","yes",0,"1.39","-0.02","0.73"
"41","A","Bir","yes",0,"1.65","-0.21","0.52"
"42","H","PNE","no",NA,"1.40","-0.03","0.49"
"43","H","Cov","no",NA,"2.30","-0.69","-0.20"
"44","A","Not","no",NA,"1.33","0.02","-0.18"
"45","H","QPR","no",NA,"1.78","-0.31","-0.50"
"46","A","Bou","no",NA,"0.68","0.50","0.00"
