"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","ShW","yes",0,"1.89","-0.31","-0.31"
"2","A","Not","yes",3,"1.94","-0.34","-0.65"
"3","H","Rea","yes",0,"1.15","0.20","-0.44"
"4","A","Bla","yes",1,"1.78","-0.23","-0.67"
"5","A","PNE","yes",3,"2.16","-0.49","-1.17"
"6","H","Bou","yes",1,"0.97","0.33","-0.83"
"7","H","Mid","yes",1,"1.38","0.05","-0.79"
"8","A","Der","yes",1,"1.95","-0.34","-1.13"
"9","A","QPR","yes",0,"1.56","-0.08","-1.21"
"10","H","Bar","yes",3,"0.85","0.41","-0.80"
"11","H","Bri","yes",0,"1.15","0.20","-0.59"
"12","A","Mil","yes",1,"1.83","-0.27","-0.86"
"13","A","Cov","yes",0,"1.60","-0.11","-0.97"
"14","H","Lut","yes",3,"1.24","0.14","-0.82"
"15","H","Hud","yes",3,"1.73","-0.20","-1.02"
"16","A","Wat","yes",3,"0.54","0.63","-0.39"
"17","A","Sto","yes",3,"1.58","-0.09","-0.48"
"18","H","Swa","yes",0,"0.84","0.42","-0.06"
"19","H","Bir","yes",3,"1.21","0.16","0.10"
"20","A","Nor","yes",0,"1.01","0.30","0.40"
"21","H","Bre","yes",0,"0.83","0.43","0.83"
"22","A","Wyc","yes",0,"2.14","-0.48","0.35"
"23","H","Nor","yes",0,"0.50","0.65","1.00"
"24","H","QPR","yes",0,"1.33","0.08","1.09"
"25","A","Bar","yes",1,"1.39","0.04","1.13"
"26","H","Mil","yes",1,"1.06","0.27","1.40"
"27","A","Bri","yes",3,"2.01","-0.39","1.01"
"28","A","Rot","yes",3,"2.19","-0.51","0.51"
"29","H","Cov","yes",3,"1.91","-0.32","0.19"
"30","A","Lut","yes",3,"1.64","-0.13","0.06"
"31","H","PNE","yes",3,"1.07","0.26","0.32"
"32","A","Bou","yes",3,"1.15","0.21","0.53"
"33","A","Mid","yes",1,"1.46","-0.01","0.52"
"34","H","Der","yes",3,"1.59","-0.10","0.42"
"35","A","Hud","yes",1,"1.68","-0.16","0.26"
"36","H","Wat","yes",0,"1.20","0.17","0.43"
"37","H","Sto","yes",1,"1.36","0.06","0.49"
"38","A","Swa","yes",3,"1.28","0.12","0.61"
"39","H","Not","yes",0,"1.31","0.10","0.71"
"40","A","ShW","yes",0,"1.77","-0.22","0.48"
"41","H","Bla","yes",1,"1.41","0.02","0.51"
"42","A","Rea","yes",1,"1.33","0.08","0.59"
"43","A","Bre","no",NA,"1.27","0.13","0.72"
"44","H","Wyc","no",NA,"1.87","-0.29","0.42"
"45","A","Bir","no",NA,"2.13","-0.47","-0.05"
"46","H","Rot","no",NA,"1.38","0.05","-0.00"
