"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Not","yes",3,"1.66","-0.26","-0.26"
"2","A","Cov","yes",0,"1.00","0.25","-0.01"
"3","H","Mid","yes",1,"1.73","-0.31","-0.32"
"4","A","ShW","yes",1,"1.14","0.14","-0.18"
"5","A","Bou","yes",1,"0.63","0.53","0.34"
"6","H","PNE","yes",0,"1.40","-0.06","0.28"
"7","H","Bir","yes",1,"1.55","-0.18","0.11"
"8","A","Bar","yes",0,"0.81","0.39","0.49"
"9","H","Car","yes",3,"1.17","0.11","0.61"
"10","A","Der","yes",3,"1.34","-0.02","0.59"
"11","A","Bla","yes",0,"1.23","0.07","0.66"
"12","H","Wat","yes",1,"1.48","-0.12","0.54"
"13","H","Rot","yes",3,"1.72","-0.31","0.23"
"14","A","Bre","yes",0,"0.69","0.48","0.71"
"15","H","Bri","yes",0,"1.47","-0.11","0.59"
"16","A","Hud","yes",0,"1.06","0.19","0.79"
"17","A","Mil","yes",1,"1.22","0.08","0.87"
"18","H","Rea","yes",0,"1.50","-0.13","0.73"
"19","H","Sto","yes",1,"1.71","-0.30","0.43"
"20","A","Wyc","yes",1,"1.57","-0.19","0.24"
"21","H","Swa","yes",0,"1.15","0.13","0.37"
"22","A","Nor","yes",1,"0.47","0.65","1.02"
"23","A","Lut","yes",3,"1.11","0.16","1.18"
"24","A","Car","yes",3,"1.27","0.04","1.22"
"25","H","Der","yes",0,"1.87","-0.41","0.80"
"26","A","Wat","yes",3,"0.26","0.80","1.60"
"27","H","Bla","yes",3,"1.75","-0.33","1.28"
"28","H","Bre","yes",3,"1.13","0.14","1.42"
"29","H","Bou","yes",3,"1.40","-0.06","1.35"
"30","A","PNE","yes",1,"1.61","-0.22","1.14"
"31","A","Bir","yes",0,"1.56","-0.18","0.95"
"32","H","Bar","yes",0,"1.16","0.12","1.08"
"33","A","Bri","yes",3,"1.41","-0.07","1.01"
"34","H","Wyc","yes",3,"2.20","-0.67","0.34"
"35","H","Hud","yes",0,"2.16","-0.63","-0.30"
"36","H","Mil","yes",3,"1.39","-0.06","-0.35"
"37","A","Rea","yes",1,"0.74","0.44","0.08"
"38","H","Cov","yes",3,"2.20","-0.67","-0.58"
"39","A","Not","yes",0,"1.25","0.06","-0.52"
"40","H","ShW","yes",3,"2.19","-0.66","-1.18"
"41","A","Rot","yes",0,"1.64","-0.24","-1.42"
"42","A","Mid","no",NA,"0.79","0.40","-1.02"
"43","A","Swa","no",NA,"0.67","0.49","-0.53"
"44","H","Nor","no",NA,"0.73","0.45","-0.08"
"45","A","Sto","no",NA,"0.95","0.28","0.20"
"46","H","Lut","no",NA,"1.58","-0.20","0.00"
