"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","PNE","yes",3,"2.21","-0.21","-0.21"
"2","H","Bir","yes",1,"1.92","-0.06","-0.27"
"3","A","Wyc","yes",3,"2.19","-0.20","-0.47"
"4","H","Mil","yes",3,"1.77","0.03","-0.44"
"5","H","Hud","yes",0,"2.41","-0.33","-0.77"
"6","A","Cov","yes",1,"1.67","0.08","-0.68"
"7","A","Bri","yes",1,"2.06","-0.13","-0.82"
"8","H","Sto","yes",3,"2.06","-0.13","-0.95"
"9","H","Bla","yes",3,"2.10","-0.15","-1.10"
"10","A","Bre","yes",1,"1.29","0.29","-0.81"
"11","A","Nor","yes",0,"0.95","0.48","-0.33"
"12","H","Rot","yes",3,"2.07","-0.13","-0.46"
"13","H","ShW","yes",1,"2.44","-0.34","-0.80"
"14","A","Not","yes",3,"1.92","-0.05","-0.85"
"15","A","Mid","yes",0,"1.43","0.22","-0.63"
"16","H","Lut","yes",3,"1.94","-0.07","-0.70"
"17","H","Bou","yes",1,"1.78","0.02","-0.68"
"18","A","Car","yes",3,"1.94","-0.06","-0.74"
"19","A","Der","yes",0,"2.00","-0.10","-0.84"
"20","H","Bar","yes",3,"1.53","0.16","-0.68"
"21","A","QPR","yes",3,"1.62","0.11","-0.57"
"22","H","Rea","yes",1,"1.87","-0.02","-0.60"
"23","H","Wat","yes",3,"1.85","-0.02","-0.62"
"24","A","Bar","yes",3,"1.45","0.21","-0.41"
"25","H","Bre","yes",1,"1.51","0.17","-0.24"
"26","A","Rot","yes",3,"2.24","-0.23","-0.47"
"27","H","Nor","yes",3,"1.05","0.43","-0.04"
"28","H","Not","yes",3,"2.01","-0.10","-0.15"
"29","A","Hud","yes",0,"1.74","0.04","-0.10"
"30","H","Cov","yes",3,"2.44","-0.34","-0.44"
"31","H","Bri","yes",0,"1.84","-0.01","-0.45"
"32","A","Sto","yes",3,"1.62","0.11","-0.34"
"33","H","Mid","yes",3,"2.07","-0.14","-0.48"
"34","A","Bla","yes",1,"1.83","-0.01","-0.49"
"35","A","Lut","yes",3,"1.78","0.02","-0.47"
"36","A","Bou","yes",0,"1.20","0.34","-0.13"
"37","H","Car","yes",0,"1.57","0.14","0.01"
"38","A","Bir","yes",0,"2.18","-0.20","-0.18"
"39","H","PNE","yes",0,"1.77","0.03","-0.16"
"40","A","Mil","yes",3,"1.89","-0.04","-0.19"
"41","A","ShW","yes",3,"1.82","0.00","-0.19"
"42","H","Wyc","no",NA,"2.45","-0.34","-0.53"
"43","H","QPR","no",NA,"2.12","-0.16","-0.70"
"44","A","Rea","no",NA,"1.39","0.24","-0.46"
"45","H","Der","no",NA,"2.23","-0.23","-0.69"
"46","A","Wat","no",NA,"0.57","0.69","-0.00"
