"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Bre","yes",3,"0.61","0.47","0.47"
"2","A","Swa","yes",1,"1.04","0.09","0.56"
"3","H","Rot","yes",1,"1.08","0.05","0.61"
"4","A","Sto","yes",1,"1.35","-0.18","0.44"
"5","H","ShW","yes",0,"1.61","-0.40","0.04"
"6","A","Nor","yes",0,"0.82","0.29","0.32"
"7","A","QPR","yes",1,"1.23","-0.07","0.25"
"8","H","Hud","yes",3,"1.43","-0.25","0.00"
"9","A","PNE","yes",3,"1.79","-0.56","-0.56"
"10","H","Wyc","yes",0,"1.59","-0.39","-0.95"
"11","H","Bou","yes",0,"0.68","0.40","-0.55"
"12","A","Cov","yes",1,"1.18","-0.03","-0.58"
"13","A","Lut","yes",1,"1.32","-0.15","-0.73"
"14","H","Mil","yes",1,"0.80","0.30","-0.43"
"15","H","Bar","yes",0,"0.64","0.44","0.01"
"16","A","Bri","yes",3,"1.69","-0.47","-0.46"
"17","A","Rea","yes",3,"1.00","0.12","-0.34"
"18","H","Wat","yes",0,"0.84","0.27","-0.07"
"19","A","Car","yes",0,"1.55","-0.35","-0.42"
"20","H","Mid","yes",0,"1.03","0.10","-0.32"
"21","A","Not","yes",1,"1.62","-0.41","-0.73"
"22","H","Der","yes",0,"1.36","-0.19","-0.92"
"23","H","Bla","yes",0,"1.17","-0.02","-0.94"
"24","A","Mid","yes",3,"1.13","0.01","-0.92"
"25","H","PNE","yes",0,"0.82","0.28","-0.64"
"26","H","Cov","yes",1,"1.48","-0.29","-0.93"
"27","A","Wyc","yes",1,"1.75","-0.53","-1.46"
"28","A","Bou","yes",0,"0.85","0.26","-1.19"
"29","H","Lut","yes",0,"0.96","0.16","-1.03"
"30","A","Mil","yes",0,"1.54","-0.35","-1.38"
"31","A","ShW","yes",3,"1.36","-0.19","-1.57"
"32","H","Nor","yes",0,"0.36","0.69","-0.88"
"33","H","QPR","yes",3,"0.94","0.18","-0.70"
"34","A","Hud","yes",1,"1.40","-0.22","-0.92"
"35","A","Bar","yes",0,"1.05","0.08","-0.84"
"36","H","Bri","yes",0,"0.96","0.17","-0.68"
"37","H","Rea","yes",3,"0.89","0.22","-0.46"
"38","A","Wat","yes",0,"0.37","0.68","0.22"
"39","H","Swa","yes",3,"0.62","0.46","0.68"
"40","A","Bre","yes",1,"0.97","0.15","0.83"
"41","H","Sto","yes",3,"1.07","0.07","0.90"
"42","A","Rot","yes",3,"1.99","-0.74","0.17"
"43","H","Not","yes",1,"1.05","0.08","0.25"
"44","A","Der","no",NA,"1.62","-0.41","-0.17"
"45","H","Car","no",NA,"0.66","0.43","0.26"
"46","A","Bla","no",NA,"1.44","-0.26","-0.00"
