"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Bla","yes",3,"2.14","-0.21","-0.21"
"2","A","Mid","yes",1,"1.36","0.23","0.02"
"3","H","Nor","yes",3,"1.10","0.38","0.40"
"4","A","Cov","yes",3,"1.41","0.21","0.61"
"5","H","QPR","yes",1,"2.08","-0.17","0.44"
"6","A","Car","yes",1,"1.78","-0.01","0.43"
"7","A","Wat","yes",1,"0.48","0.73","1.16"
"8","H","Bri","yes",3,"1.92","-0.09","1.07"
"9","H","Der","yes",1,"2.27","-0.28","0.79"
"10","A","ShW","yes",0,"1.66","0.06","0.85"
"11","A","Bir","yes",3,"2.04","-0.15","0.70"
"12","H","Rea","yes",3,"1.92","-0.09","0.61"
"13","H","Not","yes",3,"2.06","-0.16","0.45"
"14","A","Rot","yes",1,"2.14","-0.21","0.24"
"15","H","PNE","yes",0,"1.85","-0.05","0.20"
"16","A","Bar","yes",3,"1.27","0.28","0.48"
"17","A","Swa","yes",1,"1.17","0.34","0.82"
"18","H","Hud","yes",3,"2.37","-0.34","0.48"
"19","H","Wyc","yes",3,"2.46","-0.39","0.09"
"20","A","Lut","yes",1,"1.53","0.14","0.23"
"21","A","Bre","yes",0,"1.16","0.34","0.57"
"22","A","Sto","yes",3,"1.47","0.17","0.74"
"23","H","Mil","yes",1,"1.84","-0.04","0.70"
"24","H","Lut","yes",0,"2.00","-0.13","0.57"
"25","A","Der","yes",0,"1.85","-0.04","0.53"
"26","A","Rea","yes",0,"1.22","0.31","0.84"
"27","H","ShW","yes",0,"2.47","-0.39","0.44"
"28","H","Bir","yes",3,"1.93","-0.09","0.35"
"29","A","Not","yes",1,"1.84","-0.04","0.31"
"30","H","Rot","yes",3,"2.12","-0.20","0.12"
"31","A","QPR","yes",0,"1.46","0.18","0.29"
"32","H","Car","yes",0,"1.63","0.08","0.37"
"33","H","Wat","yes",3,"1.97","-0.11","0.26"
"34","A","Bri","yes",3,"1.91","-0.08","0.18"
"35","A","PNE","yes",1,"2.07","-0.17","0.01"
"36","H","Bar","yes",0,"1.68","0.05","0.06"
"37","H","Swa","yes",3,"1.59","0.10","0.17"
"38","H","Mid","yes",3,"2.12","-0.20","-0.03"
"39","A","Bla","yes",3,"1.68","0.05","0.02"
"40","H","Cov","yes",3,"2.48","-0.40","-0.38"
"41","A","Hud","yes",3,"1.57","0.11","-0.27"
"42","A","Nor","yes",3,"0.91","0.48","0.22"
"43","A","Mil","no",NA,"1.73","0.02","0.24"
"44","H","Bre","no",NA,"1.57","0.11","0.35"
"45","A","Wyc","no",NA,"2.06","-0.16","0.19"
"46","H","Sto","no",NA,"2.11","-0.19","-0.00"
