"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","QPR","yes",0,"1.04","0.10","0.10"
"2","H","Car","yes",0,"0.84","0.28","0.38"
"3","A","Hud","yes",0,"1.20","-0.03","0.35"
"4","H","Bri","yes",0,"1.18","-0.01","0.34"
"5","A","Bla","yes",3,"1.25","-0.07","0.26"
"6","H","Rot","yes",1,"1.32","-0.13","0.13"
"7","H","Der","yes",1,"1.60","-0.38","-0.25"
"8","A","Lut","yes",1,"1.13","0.03","-0.22"
"9","A","Mid","yes",0,"0.95","0.18","-0.03"
"10","H","Cov","yes",3,"1.71","-0.47","-0.51"
"11","H","Wyc","yes",3,"1.82","-0.57","-1.07"
"12","A","Bar","yes",0,"0.88","0.24","-0.83"
"13","A","Bou","yes",0,"0.69","0.40","-0.43"
"14","H","Swa","yes",0,"0.79","0.32","-0.11"
"15","H","Wat","yes",1,"1.04","0.10","-0.00"
"16","A","Rea","yes",0,"0.83","0.28","0.28"
"17","A","Nor","yes",0,"0.67","0.42","0.70"
"18","H","Bre","yes",0,"0.78","0.33","1.03"
"19","H","ShW","yes",3,"1.84","-0.58","0.45"
"20","A","Mil","yes",1,"1.35","-0.16","0.29"
"21","H","Bir","yes",1,"1.10","0.05","0.34"
"22","A","Sto","yes",1,"1.15","0.01","0.35"
"23","A","PNE","yes",3,"1.60","-0.38","-0.03"
"24","H","Mil","yes",3,"1.01","0.13","0.10"
"25","H","Mid","yes",0,"1.26","-0.08","0.02"
"26","H","Bar","yes",1,"0.82","0.29","0.31"
"27","A","Cov","yes",3,"1.00","0.14","0.46"
"28","A","Wyc","yes",3,"1.56","-0.34","0.12"
"29","H","Bou","yes",1,"0.87","0.25","0.37"
"30","A","Swa","yes",0,"0.87","0.25","0.62"
"31","H","Bla","yes",3,"1.41","-0.21","0.41"
"32","A","Rot","yes",3,"1.81","-0.56","-0.15"
"33","A","Der","yes",1,"1.42","-0.22","-0.37"
"34","H","Lut","yes",0,"1.18","-0.02","-0.39"
"35","A","Wat","yes",0,"0.29","0.75","0.36"
"36","H","Rea","yes",1,"1.11","0.05","0.41"
"37","H","Nor","yes",0,"0.47","0.60","1.00"
"38","A","Bre","yes",1,"0.81","0.31","1.31"
"39","A","Car","yes",3,"1.35","-0.16","1.14"
"40","H","QPR","yes",3,"1.16","-0.00","1.14"
"41","A","Bri","yes",1,"1.49","-0.28","0.86"
"42","H","Hud","yes",0,"1.67","-0.44","0.42"
"43","A","Bir","yes",1,"1.64","-0.41","0.01"
"44","H","Sto","no",NA,"1.30","-0.12","-0.11"
"45","A","ShW","no",NA,"1.17","-0.01","-0.12"
"46","H","PNE","no",NA,"1.03","0.12","0.00"
