"","HA","vs","played","sched","cumulative"
"1","A","Bre","yes","0.40","0.40"
"2","H","Bri","yes","-0.03","0.37"
"3","A","Not","yes","0.39","0.76"
"4","H","Bar","yes","-0.58","0.18"
"5","A","Swa","yes","0.23","0.41"
"6","H","Sto","yes","-0.36","0.05"
"7","A","Cha","yes","0.03","0.08"
"8","H","PNE","yes","-0.02","0.06"
"9","A","Der","yes","0.15","0.20"
"10","A","Wig","yes","-0.12","0.09"
"11","H","Mid","yes","-0.31","-0.22"
"12","A","Lee","yes","0.45","0.23"
"13","H","Bla","yes","-0.11","0.13"
"14","H","Lut","yes","-0.55","-0.42"
"15","A","Car","yes","0.27","-0.15"
"16","H","Ful","yes","0.08","-0.08"
"17","A","Hud","yes","-0.00","-0.08"
"18","A","ShW","yes","0.22","0.14"
"19","H","Mil","yes","-0.10","0.04"
"20","A","Rea","yes","0.14","0.18"
"21","H","QPR","yes","-0.26","-0.08"
"22","H","WBA","yes","0.19","0.11"
"23","A","Hul","yes","0.12","0.23"
"24","A","Bla","yes","0.25","0.48"
"25","H","Lee","yes","0.13","0.61"
"26","H","Wig","yes","-0.45","0.15"
"27","A","Lut","yes","-0.24","-0.09"
"28","H","Car","yes","-0.09","-0.17"
"29","A","Mid","yes","0.05","-0.12"
"30","H","Not","yes","0.04","-0.08"
"31","A","Bri","yes","0.32","0.24"
"32","A","Bar","yes","-0.27","-0.03"
"33","H","Bre","no","0.06","0.03"
"34","H","ShW","no","-0.14","-0.11"
"35","A","Mil","no","0.26","0.15"
"36","A","QPR","no","0.10","0.25"
"37","H","Rea","no","-0.22","0.03"
"38","A","WBA","no","0.51","0.54"
"39","H","Hul","no","-0.24","0.29"
"40","H","Hud","no","-0.35","-0.06"
"41","A","Ful","no","0.41","0.35"
"42","H","Swa","no","-0.13","0.22"
"43","A","Sto","no","-0.00","0.21"
"44","H","Cha","no","-0.33","-0.11"
"45","A","PNE","no","0.33","0.21"
"46","H","Der","no","-0.21","-0.00"
