"","HA","vs","played","sched","cumulative"
"1","H","Car","yes","-0.06","-0.06"
"2","A","PNE","yes","0.25","0.19"
"3","H","Lee","yes","0.20","0.39"
"4","A","Mid","yes","0.02","0.40"
"5","A","QPR","yes","0.10","0.51"
"6","H","Bar","yes","-0.45","0.06"
"7","A","Hul","yes","-0.03","0.03"
"8","H","Cha","yes","-0.35","-0.32"
"9","A","Ful","yes","0.38","0.07"
"10","H","Bir","yes","-0.25","-0.18"
"11","A","ShW","yes","0.17","-0.01"
"12","H","Not","yes","0.03","0.01"
"13","A","Der","yes","0.22","0.24"
"14","A","Bri","yes","0.23","0.47"
"15","H","Swa","yes","-0.15","0.32"
"16","H","Bre","yes","0.10","0.42"
"17","A","Sto","yes","-0.04","0.39"
"18","A","Mil","yes","0.23","0.62"
"19","H","Rea","yes","-0.27","0.35"
"20","A","Lut","yes","-0.06","0.29"
"21","H","WBA","yes","0.16","0.46"
"22","H","Hud","yes","-0.40","0.06"
"23","A","Bla","yes","0.20","0.26"
"24","H","Der","yes","-0.15","0.11"
"25","A","Not","yes","0.38","0.49"
"26","A","Bir","yes","0.13","0.62"
"27","H","Bri","yes","-0.14","0.47"
"28","A","Swa","yes","0.22","0.70"
"29","H","ShW","yes","-0.21","0.49"
"30","A","Lee","yes","0.52","1.01"
"31","H","PNE","yes","-0.12","0.89"
"32","H","Mid","yes","-0.36","0.53"
"33","A","Car","yes","0.30","0.83"
"34","H","Mil","yes","-0.14","0.69"
"35","A","Rea","yes","0.11","0.80"
"36","A","WBA","yes","0.49","1.29"
"37","H","Lut","yes","-0.43","0.86"
"38","A","Hud","yes","-0.03","0.83"
"39","H","Bla","yes","-0.17","0.66"
"40","H","Sto","yes","-0.41","0.25"
"41","A","Bre","no","0.44","0.69"
"42","H","QPR","no","-0.27","0.42"
"43","A","Bar","no","-0.08","0.34"
"44","H","Hul","no","-0.40","-0.06"
"45","A","Cha","no","0.02","-0.03"
"46","H","Ful","no","0.03","-0.00"
