"","HA","vs","played","sched","cumulative"
"1","H","Mid","yes","-0.46","-0.46"
"2","A","Car","yes","0.36","-0.10"
"3","H","WBA","yes","0.21","0.11"
"4","A","ShW","yes","0.17","0.28"
"5","A","Bar","yes","-0.12","0.15"
"6","H","Hud","yes","-0.45","-0.29"
"7","A","QPR","yes","0.12","-0.18"
"8","H","Hul","yes","-0.45","-0.63"
"9","A","Bla","yes","0.20","-0.42"
"10","H","Mil","yes","-0.12","-0.54"
"11","A","Der","yes","0.27","-0.27"
"12","H","Bri","yes","-0.21","-0.48"
"13","A","Ful","yes","0.43","-0.05"
"14","A","Bir","yes","0.09","0.03"
"15","H","Not","yes","0.05","0.09"
"16","A","Rea","yes","0.15","0.24"
"17","H","Lee","yes","0.26","0.50"
"18","H","Cha","yes","-0.45","0.04"
"19","A","Bre","yes","0.49","0.53"
"20","H","Wig","yes","-0.32","0.21"
"21","A","Sto","yes","-0.01","0.19"
"22","A","PNE","yes","0.24","0.43"
"23","H","Swa","yes","-0.17","0.26"
"24","H","Ful","yes","0.06","0.32"
"25","A","Bri","yes","0.21","0.53"
"26","A","Mil","yes","0.29","0.82"
"27","H","Bir","yes","-0.36","0.46"
"28","A","Not","yes","0.42","0.89"
"29","H","Der","yes","-0.14","0.75"
"30","A","WBA","yes","0.54","1.29"
"31","H","Car","yes","-0.03","1.25"
"32","H","ShW","yes","-0.27","0.99"
"33","A","Mid","yes","-0.01","0.98"
"34","A","Cha","yes","-0.00","0.97"
"35","H","Bre","yes","0.14","1.12"
"36","H","Sto","yes","-0.46","0.65"
"37","A","Wig","yes","0.11","0.77"
"38","H","PNE","yes","-0.18","0.59"
"39","A","Swa","yes","0.25","0.83"
"40","A","Lee","yes","0.56","1.40"
"41","H","Rea","yes","-0.28","1.12"
"42","H","Bar","no","-0.57","0.54"
"43","A","Hud","no","0.00","0.55"
"44","H","QPR","no","-0.32","0.22"
"45","A","Hul","no","-0.00","0.22"
"46","H","Bla","no","-0.22","-0.00"
