"","HA","vs","played","sched","cumulative"
"1","A","Bri","yes","0.13","0.13"
"2","H","Not","yes","0.01","0.14"
"3","A","Wig","yes","0.07","0.21"
"4","H","Bre","yes","0.06","0.27"
"5","A","Sto","yes","-0.00","0.27"
"6","H","Swa","yes","-0.09","0.17"
"7","A","Bar","yes","-0.06","0.11"
"8","H","Der","yes","-0.08","0.03"
"9","A","Cha","yes","0.00","0.03"
"10","H","WBA","yes","0.11","0.14"
"11","A","Mil","yes","0.18","0.32"
"12","H","Bir","yes","-0.17","0.15"
"13","A","PNE","yes","0.14","0.29"
"14","A","ShW","yes","0.10","0.39"
"15","H","QPR","yes","-0.16","0.23"
"16","H","Bla","yes","-0.12","0.12"
"17","A","Lut","yes","-0.05","0.07"
"18","A","Rea","yes","0.09","0.16"
"19","H","Mid","yes","-0.21","-0.05"
"20","A","Hud","yes","0.00","-0.05"
"21","H","Hul","yes","-0.20","-0.25"
"22","H","Car","yes","-0.03","-0.28"
"23","A","Ful","yes","0.29","0.01"
"24","H","PNE","yes","-0.10","-0.09"
"25","A","Bir","yes","0.05","-0.04"
"26","A","WBA","yes","0.38","0.34"
"27","H","ShW","yes","-0.13","0.21"
"28","A","QPR","yes","0.07","0.27"
"29","H","Mil","yes","-0.07","0.20"
"30","H","Wig","yes","-0.16","0.04"
"31","A","Not","yes","0.28","0.33"
"32","A","Bre","yes","0.34","0.66"
"33","H","Bri","yes","-0.11","0.55"
"34","H","Rea","yes","-0.14","0.41"
"35","A","Mid","yes","-0.00","0.41"
"36","A","Hul","yes","0.00","0.41"
"37","H","Hud","yes","-0.20","0.21"
"38","A","Car","yes","0.23","0.44"
"39","H","Ful","yes","0.02","0.46"
"40","H","Lut","yes","-0.24","0.22"
"41","A","Bla","yes","0.12","0.34"
"42","H","Sto","no","-0.21","0.13"
"43","A","Swa","no","0.15","0.28"
"44","H","Bar","no","-0.24","0.04"
"45","A","Der","no","0.17","0.20"
"46","H","Cha","no","-0.20","-0.00"
