"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Val","yes",0,"0.98","0.17","0.17"
"2","A","Osa","yes",3,"1.32","-0.12","0.05"
"3","A","Sev","yes",0,"0.40","0.66","0.70"
"4","H","RMa","yes",0,"0.43","0.63","1.34"
"5","A","Bil","yes",0,"1.03","0.13","1.47"
"6","H","Cel","yes",1,"1.41","-0.19","1.28"
"7","A","Gra","yes",1,"0.78","0.34","1.62"
"8","H","Ala","yes",1,"1.72","-0.45","1.16"
"9","H","Elc","yes",1,"1.85","-0.57","0.59"
"10","A","RVd","yes",1,"1.83","-0.55","0.05"
"11","H","Get","yes",3,"1.77","-0.50","-0.46"
"12","A","Bar","yes",0,"0.46","0.61","0.16"
"13","H","RSo","yes",3,"0.80","0.32","0.48"
"14","A","Hue","yes",1,"1.56","-0.32","0.16"
"15","H","Bet","yes",3,"0.96","0.19","0.35"
"16","A","Vil","yes",0,"1.11","0.06","0.40"
"17","H","Eib","yes",3,"1.50","-0.27","0.13"
"18","A","Cad","yes",1,"1.61","-0.37","-0.24"
"19","H","RVd","yes",1,"1.49","-0.27","-0.50"
"20","A","RMa","yes",3,"0.53","0.55","0.05"
"21","H","Gra","yes",1,"1.71","-0.45","-0.40"
"22","H","Osa","yes",0,"1.31","-0.11","-0.51"
"23","H","Atl","yes",1,"0.47","0.60","0.09"
"24","A","Atl","yes",3,"0.33","0.72","0.82"
"25","H","Bil","yes",1,"1.59","-0.35","0.47"
"26","A","RSo","yes",0,"1.02","0.14","0.60"
"27","H","Val","yes",3,"1.83","-0.55","0.05"
"28","A","Bet","yes",0,"0.89","0.25","0.30"
"29","H","Hue","yes",0,"1.69","-0.43","-0.13"
"30","A","Eib","yes",3,"2.16","-0.83","-0.96"
"31","H","Vil","yes",0,"0.88","0.25","-0.71"
"32","H","Sev","yes",0,"0.58","0.51","-0.20"
"33","A","Elc","no",NA,"1.47","-0.25","-0.44"
"34","A","Cel","no",NA,"1.19","-0.01","-0.46"
"35","A","Ala","no",NA,"1.41","-0.20","-0.65"
"36","H","Bar","no",NA,"0.42","0.64","-0.01"
"37","A","Get","no",NA,"1.36","-0.15","-0.16"
"38","H","Cad","no",NA,"0.99","0.16","-0.00"
