"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","RSo","yes",1,"2.13","0.01","0.01"
"2","A","Bet","yes",3,"1.93","0.10","0.12"
"3","H","RVd","yes",3,"2.43","-0.13","-0.01"
"4","A","Lev","yes",3,"2.36","-0.09","-0.11"
"5","H","Cad","yes",0,"2.08","0.03","-0.07"
"6","A","Bar","yes",3,"1.36","0.37","0.30"
"7","H","Hue","yes",3,"2.53","-0.17","0.12"
"8","A","Val","yes",0,"2.03","0.06","0.18"
"9","A","Vil","yes",1,"2.14","0.00","0.19"
"10","H","Ala","yes",0,"2.55","-0.18","0.00"
"11","A","Sev","yes",3,"1.21","0.44","0.44"
"12","H","Atl","yes",3,"1.40","0.35","0.79"
"13","H","Bil","yes",3,"2.49","-0.16","0.64"
"14","A","Eib","yes",3,"2.72","-0.26","0.37"
"15","H","Gra","yes",3,"2.55","-0.18","0.19"
"16","A","Elc","yes",1,"2.39","-0.11","0.08"
"17","H","Cel","yes",3,"2.34","-0.09","-0.00"
"18","A","Osa","yes",1,"2.30","-0.07","-0.07"
"19","A","Ala","yes",3,"2.35","-0.09","-0.16"
"20","H","Lev","yes",0,"2.26","-0.05","-0.21"
"21","A","Hue","yes",3,"2.44","-0.13","-0.34"
"22","H","Get","yes",3,"2.56","-0.19","-0.53"
"23","H","Val","yes",3,"2.60","-0.21","-0.74"
"24","A","RVd","yes",3,"2.58","-0.20","-0.93"
"25","H","RSo","yes",1,"1.88","0.13","-0.81"
"26","A","Atl","yes",1,"1.06","0.51","-0.30"
"27","H","Elc","yes",3,"2.61","-0.21","-0.51"
"28","A","Cel","yes",3,"2.21","-0.02","-0.54"
"29","H","Eib","yes",3,"2.41","-0.12","-0.66"
"30","H","Bar","yes",3,"1.30","0.40","-0.26"
"31","A","Get","yes",1,"2.32","-0.08","-0.34"
"32","A","Cad","yes",3,"2.47","-0.15","-0.49"
"33","H","Bet","no",NA,"2.05","0.05","-0.44"
"34","H","Osa","no",NA,"2.32","-0.08","-0.52"
"35","H","Sev","no",NA,"1.58","0.26","-0.25"
"36","A","Gra","no",NA,"1.87","0.13","-0.12"
"37","A","Bil","no",NA,"2.07","0.04","-0.08"
"38","H","Vil","no",NA,"1.98","0.08","0.00"
