"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Osa","yes",3,"1.37","-0.43","-0.43"
"2","A","Ala","yes",1,"0.83","0.14","-0.29"
"3","H","Bet","yes",3,"1.01","-0.06","-0.35"
"4","A","RSo","yes",0,"0.54","0.44","0.09"
"5","H","Bar","yes",3,"0.45","0.53","0.62"
"6","H","Gra","yes",0,"1.77","-0.85","-0.23"
"7","A","Val","yes",1,"0.52","0.46","0.23"
"8","H","Vil","yes",0,"0.94","0.02","0.25"
"9","A","Eib","yes",1,"1.59","-0.66","-0.41"
"10","H","Bil","yes",1,"1.65","-0.72","-1.13"
"11","A","Lev","yes",0,"0.83","0.13","-1.00"
"12","H","Sev","yes",0,"0.61","0.36","-0.64"
"13","A","Cad","yes",3,"1.00","-0.04","-0.68"
"14","H","Cel","yes",1,"1.47","-0.53","-1.21"
"15","A","Atl","yes",0,"0.16","0.84","-0.37"
"16","H","RVd","yes",0,"1.55","-0.62","-0.99"
"17","A","Elc","yes",3,"0.88","0.09","-0.91"
"18","H","Hue","yes",3,"1.75","-0.82","-1.73"
"19","A","Bil","yes",0,"0.55","0.43","-1.30"
"20","H","Ala","yes",1,"1.77","-0.85","-2.15"
"21","A","Sev","yes",0,"0.20","0.79","-1.36"
"22","A","RMa","yes",0,"0.26","0.73","-0.63"
"23","H","RSo","yes",0,"0.85","0.12","-0.51"
"24","A","Bet","yes",0,"0.46","0.52","0.01"
"25","H","Val","yes",3,"1.88","-0.97","-0.96"
"26","A","RVd","yes",0,"1.21","-0.26","-1.22"
"27","H","Atl","yes",1,"0.50","0.48","-0.74"
"28","H","Elc","yes",1,"1.91","-0.99","-1.73"
"29","A","Osa","yes",1,"0.76","0.21","-1.52"
"30","H","Cad","yes",0,"1.05","-0.09","-1.61"
"31","H","RMa","yes",1,"0.46","0.52","-1.09"
"32","A","Bar","yes",0,"0.22","0.77","-0.33"
"33","A","Hue","no",NA,"0.95","0.01","-0.32"
"34","A","Vil","no",NA,"0.61","0.37","0.05"
"35","H","Eib","no",NA,"1.56","-0.63","-0.58"
"36","A","Cel","no",NA,"0.66","0.31","-0.27"
"37","H","Lev","no",NA,"1.26","-0.32","-0.59"
"38","A","Gra","no",NA,"0.40","0.59","0.00"
