"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Ala","yes",3,"1.70","-0.07","-0.07"
"2","H","RVd","yes",3,"2.04","-0.29","-0.37"
"3","H","RMa","yes",0,"0.81","0.49","0.12"
"4","A","Get","yes",0,"1.64","-0.04","0.08"
"5","A","Val","yes",3,"1.34","0.15","0.24"
"6","H","RSo","yes",0,"1.34","0.15","0.39"
"7","A","Atl","yes",0,"0.45","0.71","1.10"
"8","H","Elc","yes",3,"2.33","-0.47","0.63"
"9","A","Bar","yes",0,"0.63","0.60","1.23"
"10","A","Bil","yes",0,"1.31","0.17","1.40"
"11","H","Eib","yes",0,"2.05","-0.30","1.10"
"12","A","Osa","yes",3,"1.61","-0.02","1.09"
"13","H","Vil","yes",1,"1.45","0.09","1.17"
"14","A","Gra","yes",0,"1.02","0.35","1.53"
"15","H","Cad","yes",3,"1.64","-0.04","1.49"
"16","A","Lev","yes",0,"1.69","-0.07","1.42"
"17","H","Sev","yes",1,"1.04","0.34","1.76"
"18","A","Hue","yes",3,"1.84","-0.16","1.60"
"19","H","Cel","yes",3,"1.97","-0.25","1.35"
"20","A","RSo","yes",1,"1.29","0.18","1.53"
"21","H","Osa","yes",3,"1.88","-0.19","1.34"
"22","H","Bar","yes",0,"0.79","0.50","1.84"
"23","A","Vil","yes",3,"1.40","0.11","1.96"
"24","H","Get","yes",3,"2.26","-0.43","1.53"
"25","A","Cad","yes",3,"1.89","-0.19","1.33"
"26","H","Ala","yes",3,"2.20","-0.39","0.94"
"27","A","Sev","yes",0,"0.56","0.65","1.58"
"28","H","Lev","yes",3,"1.89","-0.19","1.39"
"29","A","Elc","yes",1,"1.64","-0.04","1.35"
"30","H","Atl","yes",1,"0.88","0.44","1.80"
"31","H","Val","yes",1,"2.30","-0.46","1.34"
"32","H","Bil","yes",1,"2.13","-0.35","0.99"
"33","A","RMa","no",NA,"0.72","0.54","1.53"
"34","A","RVd","no",NA,"2.06","-0.30","1.23"
"35","H","Gra","no",NA,"2.22","-0.41","0.82"
"36","A","Eib","no",NA,"2.37","-0.50","0.33"
"37","H","Hue","no",NA,"2.20","-0.39","-0.07"
"38","A","Cel","no",NA,"1.48","0.07","-0.00"
