"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Hue","yes",1,"1.98","-0.32","-0.32"
"2","H","Eib","yes",3,"1.81","-0.21","-0.53"
"3","A","Bar","yes",0,"0.69","0.54","0.01"
"4","H","Ala","yes",3,"1.99","-0.32","-0.31"
"5","A","Atl","yes",1,"0.50","0.67","0.36"
"6","H","Val","yes",3,"2.10","-0.40","-0.04"
"7","A","Cad","yes",1,"1.96","-0.31","-0.35"
"8","H","RVd","yes",3,"1.81","-0.21","-0.55"
"9","A","Get","yes",3,"1.73","-0.16","-0.71"
"10","H","RMa","yes",1,"0.61","0.59","-0.12"
"11","A","RSo","yes",1,"1.38","0.08","-0.04"
"12","H","Elc","yes",1,"2.14","-0.43","-0.46"
"13","A","Bet","yes",1,"1.24","0.18","-0.29"
"14","A","Osa","yes",3,"1.69","-0.13","-0.41"
"15","H","Bil","yes",1,"1.90","-0.27","-0.68"
"16","A","Sev","yes",0,"0.62","0.59","-0.09"
"17","H","Lev","yes",3,"1.64","-0.09","-0.18"
"18","A","Cel","yes",3,"1.57","-0.05","-0.23"
"19","H","Gra","yes",1,"2.01","-0.34","-0.57"
"20","A","Hue","yes",1,"2.02","-0.34","-0.91"
"21","H","RSo","yes",1,"1.08","0.28","-0.63"
"22","A","Elc","yes",1,"1.72","-0.15","-0.78"
"23","H","Bet","yes",0,"1.25","0.17","-0.61"
"24","A","Bil","yes",1,"1.39","0.07","-0.54"
"25","H","Atl","yes",0,"0.68","0.55","0.01"
"26","A","Val","yes",0,"1.42","0.05","0.06"
"27","A","Eib","yes",3,"2.41","-0.61","-0.55"
"28","H","Cad","yes",3,"1.37","0.08","-0.46"
"29","A","Gra","yes",3,"1.11","0.26","-0.20"
"30","H","Osa","yes",0,"1.63","-0.08","-0.29"
"31","A","Lev","yes",3,"1.77","-0.18","-0.47"
"32","A","Ala","yes",0,"1.78","-0.18","-0.65"
"33","H","Bar","no",NA,"0.60","0.60","-0.05"
"34","H","Get","no",NA,"1.91","-0.27","-0.33"
"35","H","Cel","no",NA,"1.72","-0.15","-0.47"
"36","A","RVd","no",NA,"2.12","-0.42","-0.89"
"37","H","Sev","no",NA,"0.80","0.46","-0.43"
"38","A","RMa","no",NA,"0.86","0.43","-0.00"
