"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","RVd","yes",1,"2.22","-0.38","-0.38"
"2","H","RMa","yes",1,"0.69","0.57","0.19"
"3","A","Elc","yes",3,"1.83","-0.14","0.05"
"4","H","Val","yes",0,"2.19","-0.36","-0.31"
"5","H","Get","yes",3,"2.02","-0.26","-0.57"
"6","A","Bet","yes",3,"1.35","0.16","-0.41"
"7","H","Hue","yes",3,"2.08","-0.29","-0.71"
"8","A","Cel","yes",3,"1.59","0.01","-0.69"
"9","H","Gra","yes",3,"2.12","-0.32","-1.01"
"10","A","Cad","yes",3,"2.06","-0.28","-1.30"
"11","H","Vil","yes",1,"1.29","0.20","-1.10"
"12","A","Ala","yes",1,"1.89","-0.17","-1.27"
"13","H","Eib","yes",1,"1.92","-0.20","-1.47"
"14","A","Bar","yes",0,"0.78","0.52","-0.95"
"15","A","Lev","yes",0,"1.89","-0.17","-1.12"
"16","H","Atl","yes",0,"0.76","0.52","-0.60"
"17","A","Bil","yes",3,"1.51","0.06","-0.54"
"18","H","Osa","yes",1,"1.81","-0.13","-0.67"
"19","A","Sev","yes",0,"0.67","0.58","-0.08"
"20","H","Bet","yes",1,"1.37","0.15","0.06"
"21","A","Vil","yes",1,"1.65","-0.03","0.04"
"22","H","Cad","yes",3,"1.49","0.07","0.11"
"23","A","Get","yes",3,"1.85","-0.15","-0.04"
"24","H","Ala","yes",3,"2.09","-0.30","-0.34"
"25","A","RMa","yes",1,"0.96","0.40","0.07"
"26","H","Lev","yes",3,"1.76","-0.09","-0.03"
"27","A","Gra","yes",0,"1.22","0.24","0.21"
"28","H","Bar","yes",0,"0.63","0.61","0.82"
"29","H","Bil","yes",1,"2.01","-0.25","0.57"
"30","A","Val","yes",1,"1.54","0.04","0.61"
"31","H","Sev","yes",0,"0.90","0.44","1.05"
"32","H","Cel","yes",3,"1.84","-0.15","0.91"
"33","A","Eib","no",NA,"2.48","-0.54","0.36"
"34","A","Hue","no",NA,"2.12","-0.32","0.05"
"35","H","Elc","no",NA,"2.23","-0.39","-0.34"
"36","A","Atl","no",NA,"0.56","0.65","0.31"
"37","H","RVd","no",NA,"1.92","-0.19","0.12"
"38","A","Osa","no",NA,"1.80","-0.12","0.00"
