"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","RSo","yes",0,"0.79","0.11","0.11"
"2","A","Eib","yes",3,"1.47","-0.65","-0.54"
"3","H","Hue","yes",1,"1.68","-0.88","-1.42"
"4","A","Ala","yes",3,"0.86","0.04","-1.38"
"5","H","Val","yes",3,"1.76","-0.98","-2.36"
"6","A","Bet","yes",0,"0.37","0.58","-1.78"
"7","H","Cel","yes",1,"1.34","-0.50","-2.28"
"8","A","Lev","yes",1,"0.71","0.20","-2.07"
"9","H","Cad","yes",1,"0.99","-0.11","-2.18"
"10","A","Vil","yes",1,"0.54","0.39","-1.79"
"11","H","Gra","yes",0,"1.70","-0.91","-2.69"
"12","A","Atl","yes",0,"0.15","0.84","-1.86"
"13","H","Osa","yes",1,"1.30","-0.46","-2.32"
"14","H","RMa","yes",1,"0.45","0.49","-1.82"
"15","A","Bil","yes",0,"0.48","0.46","-1.36"
"16","H","Get","yes",0,"1.75","-0.96","-2.32"
"17","A","RVd","yes",1,"1.10","-0.23","-2.56"
"18","H","Bar","yes",0,"0.42","0.53","-2.03"
"19","A","Val","yes",0,"0.46","0.48","-1.55"
"20","H","Vil","yes",1,"0.78","0.13","-1.42"
"21","A","Cel","yes",0,"0.59","0.34","-1.08"
"22","H","Eib","yes",3,"1.45","-0.63","-1.71"
"23","A","Bar","yes",0,"0.21","0.77","-0.94"
"24","A","Gra","yes",0,"0.37","0.58","-0.36"
"25","H","Sev","yes",3,"0.62","0.31","-0.05"
"26","A","RMa","yes",0,"0.23","0.74","0.69"
"27","A","Sev","yes",0,"0.17","0.81","1.50"
"28","A","Get","yes",1,"0.70","0.21","1.71"
"29","H","Bet","yes",1,"0.97","-0.08","1.63"
"30","A","Hue","yes",0,"0.85","0.04","1.67"
"31","A","Osa","yes",0,"0.73","0.18","1.86"
"32","H","RVd","no",NA,"1.48","-0.66","1.20"
"33","H","Lev","no",NA,"1.20","-0.35","0.85"
"34","H","Atl","no",NA,"0.47","0.47","1.32"
"35","A","RSo","no",NA,"0.52","0.41","1.73"
"36","H","Ala","no",NA,"1.71","-0.91","0.82"
"37","A","Cad","no",NA,"0.88","0.01","0.84"
"38","H","Bil","no",NA,"1.64","-0.84","0.00"
