"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Bet","yes",0,"0.84","0.05","0.05"
"2","A","Gra","yes",0,"0.45","0.49","0.54"
"3","H","Get","yes",1,"1.60","-0.81","-0.28"
"4","A","Vil","yes",0,"0.65","0.27","-0.01"
"5","H","Bil","yes",3,"1.49","-0.69","-0.70"
"6","H","Elc","yes",0,"1.71","-0.94","-1.63"
"7","A","RVd","yes",3,"1.26","-0.43","-2.06"
"8","H","Bar","yes",1,"0.36","0.60","-1.47"
"9","A","Lev","yes",1,"0.84","0.05","-1.42"
"10","H","Val","yes",1,"1.62","-0.83","-2.25"
"11","A","RMa","yes",3,"0.28","0.69","-1.56"
"12","H","RSo","yes",1,"0.68","0.23","-1.34"
"13","A","Hue","yes",0,"1.00","-0.13","-1.47"
"14","A","Cel","yes",0,"0.70","0.20","-1.26"
"15","H","Eib","yes",3,"1.31","-0.48","-1.74"
"16","A","Osa","yes",1,"0.86","0.03","-1.72"
"17","H","Atl","yes",0,"0.40","0.55","-1.17"
"18","A","Cad","yes",0,"1.03","-0.16","-1.33"
"19","H","Sev","yes",0,"0.53","0.40","-0.93"
"20","H","RMa","yes",0,"0.38","0.57","-0.36"
"21","A","Get","yes",1,"0.83","0.06","-0.30"
"22","H","RVd","yes",3,"1.33","-0.51","-0.81"
"23","A","Bar","yes",0,"0.25","0.72","-0.09"
"24","A","RSo","yes",0,"0.63","0.29","0.19"
"25","H","Osa","yes",0,"1.16","-0.31","-0.12"
"26","A","Bet","yes",0,"0.45","0.49","0.38"
"27","H","Cad","yes",1,"0.86","0.03","0.40"
"28","A","Atl","yes",0,"0.18","0.80","1.20"
"29","H","Cel","yes",0,"1.19","-0.35","0.85"
"30","A","Bil","yes",1,"0.58","0.34","1.19"
"31","H","Hue","yes",3,"1.53","-0.73","0.46"
"32","H","Vil","no",NA,"0.67","0.24","0.70"
"33","A","Val","no",NA,"0.56","0.37","1.07"
"34","A","Eib","no",NA,"1.64","-0.86","0.21"
"35","H","Lev","no",NA,"1.06","-0.20","0.00"
"36","A","Elc","no",NA,"0.89","-0.01","-0.00"
"37","H","Gra","no",NA,"1.56","-0.76","-0.76"
"38","A","Sev","no",NA,"0.21","0.76","0.00"
