"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"MnC","Man City",38,62,91,1,1,38,2.39
"Ars","Arsenal",38,62,89,2,2,38,2.34
"Liv","Liverpool",38,45,82,3,3,38,2.16
"Ast","Aston Villa",38,15,68,4,4,38,1.79
"Tot","Tottenham",38,13,66,5,5,38,1.74
"Che","Chelsea",38,14,63,6,6,38,1.66
"New","Newcastle",38,23,60,7,7,38,1.58
"MnU","Man Utd",38,-1,60,8,8,38,1.58
"WHU","West Ham",38,-14,52,9,9,38,1.37
"Pal","Crystal Palace",38,-1,49,10,10,38,1.29
"BHA","Brighton",38,-7,48,11,11,38,1.26
"Bou","Bournemouth",38,-13,48,12,12,38,1.26
"Ful","Fulham",38,-6,47,13,13,38,1.24
"Wol","Wolves",38,-15,46,14,14,38,1.21
"Eve","Everton",38,-11,40,15,15,38,1.05
"Bre","Brentford",38,-9,39,16,16,38,1.03
"Not","Nottingham Forest",38,-18,32,17,17,38,0.84
"Lut","Luton Town",38,-33,26,18,18,38,0.68
"Bur","Burnley",38,-37,24,19,19,38,0.63
"ShU","Sheffield Utd",38,-69,16,20,20,38,0.42
