fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
57,Arsenal FC,Arsenal,ARS,NA,NA,0
58,Aston Villa FC,Aston Villa,AVL,NA,NA,0
61,Chelsea FC,Chelsea,CHE,NA,NA,0
62,Everton FC,Everton,EVE,NA,NA,-6
63,Fulham FC,Fulham,FUL,NA,NA,0
64,Liverpool FC,Liverpool,LIV,NA,NA,0
65,Manchester City FC,Man City,MCI,NA,NA,0
66,Manchester United FC,Man United,MUN,NA,NA,0
67,Newcastle United FC,Newcastle,NEW,NA,NA,0
73,Tottenham Hotspur FC,Tottenham,TOT,NA,NA,0
76,Wolverhampton Wanderers FC,Wolverhampton,WOL,NA,NA,0
328,Burnley FC,Burnley,BUR,NA,NA,0
351,Nottingham Forest FC,Nottingham,NOT,NA,NA,0
354,Crystal Palace FC,Crystal Palace,CRY,NA,NA,0
356,Sheffield United FC,Sheffield Utd,SHE,NA,NA,0
389,Luton Town FC,Luton Town,LUT,NA,NA,0
397,Brighton & Hove Albion FC,Brighton Hove,BHA,NA,NA,0
402,Brentford FC,Brentford,BRE,NA,NA,0
563,West Ham United FC,West Ham,WHU,NA,NA,0
1044,AFC Bournemouth,Bournemouth,BOU,NA,NA,0
