"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Spo","Sporting Lisbon",34,67,90,1,1,34,2.65
"Ben","Benfica",34,49,80,2,2,34,2.35
"Pto","FC Porto",34,36,72,3,3,34,2.12
"Bra","Sporting Braga",34,21,68,4,4,34,2
"Gui","Vitória Guimarães",34,14,63,5,5,34,1.85
"Mor","Moreirense",34,1,55,6,6,34,1.62
"Aro","Arouca",34,4,46,7,7,34,1.35
"Fam","FC Famalicão",34,-4,42,8,8,34,1.24
"Cas","Casa Pia",34,-12,38,9,9,34,1.12
"Far","Farense",34,-5,37,10,10,34,1.09
"Rio","Rio Ave",34,-5,37,11,11,34,1.09
"Gil","Gil Vicente",34,-10,36,12,12,34,1.06
"Est","Estoril Praia",34,-9,33,13,13,34,0.97
"Ama","Amadora",34,-20,33,14,14,34,0.97
"Boa","Boavista",34,-23,32,15,15,34,0.94
"Pse","Portimonense",34,-33,32,16,16,34,0.94
"Viz","Vizela",34,-30,26,17,17,34,0.76
"Cha","Chaves",34,-41,23,18,18,34,0.68
