"team","teamId","playedGames","goalDifference","points","rank"
"Sporting Clube de Portugal",498,13,32,33,1
"FC Porto",503,12,22,30,2
"Sport Lisboa e Benfica",1903,11,23,28,3
"Sporting Clube de Braga",5613,13,9,24,4
NA,NA,12,3,24,5
"Vitória SC",5543,12,5,21,6
"Moreirense FC",583,13,1,20,7
"FC Famalicão",5531,12,2,17,8
"Rio Ave FC",496,12,-9,15,9
"GD Estoril Praia",582,13,-7,14,10
"Casa Pia AC",6618,12,-6,13,11
"Boavista FC",810,12,-8,10,12
"Gil Vicente FC",5533,12,-9,10,13
NA,NA,12,-11,10,14
"CF Estrela da Amadora",9136,12,-11,9,15
NA,NA,11,-9,9,16
"FC Arouca",712,12,-15,8,17
"SC Farense",5602,12,-12,8,18
